datestart             datestop              obsid power_cmd  si_mode  pcad_mode vid_board clocking fep_count ccd_count simpos simfa_pos pitch  ra     dec    roll   q1    q2    q3    q4   trans_keys                                      
2009:193:05:59:23.117 2009:193:06:03:35.972 10168 AA00000000 TE_0021C NMAN      1         0        6         6         -99616 -536      47.99  61.00  17.04  104.61 0.72  0.32  0.41  0.46 dec,pitch,q1,q2,q3,q4,ra,roll                   
2009:193:06:03:35.972 2009:193:06:04:14.144 10168 AA00000000 TE_0021C NMAN      1         0        6         6         -99616 -536      47.99  61.00  17.04  104.61 0.72  0.32  0.41  0.46 clocking,power_cmd                              
2009:193:06:04:14.144 2009:193:06:06:38.972 10168 AA00000000 TE_0021C NMAN      1         0        6         6         -99616 -536      48.43  58.57  27.84  95.67  0.71  0.21  0.47  0.48 dec,pitch,q1,q2,q3,q4,ra,roll                   
2009:193:06:06:38.972 2009:193:06:06:42.972 10168 AA00000000 TE_0021C NMAN      1         0        6         6         -99616 -536      48.43  58.57  27.84  95.67  0.71  0.21  0.47  0.48 clocking,power_cmd                              
2009:193:06:06:42.972 2009:193:06:07:06.972 10168 WSPOW00000 TE_0021C NMAN      1         0        0         0         -99616 -536      48.43  58.57  27.84  95.67  0.71  0.21  0.47  0.48 ccd_count,clocking,fep_count,power_cmd,vid_board
2009:193:06:07:06.972 2009:193:06:08:09.972 10168 WSPOW08F3E TE_0021C NMAN      1         0        5         5         -99616 -536      48.43  58.57  27.84  95.67  0.71  0.21  0.47  0.48 ccd_count,clocking,fep_count,power_cmd,vid_board
2009:193:06:08:09.972 2009:193:06:08:13.972 10168 WSPOW08F3E TE_00452 NMAN      1         0        5         5         -99616 -536      48.43  58.57  27.84  95.67  0.71  0.21  0.47  0.48 si_mode                                         
2009:193:06:08:13.972 2009:193:06:09:05.170 10168 XTZ0000005 TE_00452 NMAN      1         1        5         5         -99616 -536      48.43  58.57  27.84  95.67  0.71  0.21  0.47  0.48 clocking,power_cmd                              
2009:193:06:09:05.170 2009:193:06:13:56.197 10168 XTZ0000005 TE_00452 NMAN      1         1        5         5         -99616 -536      48.85  58.54  43.84  81.28  0.67  0.05  0.56  0.50 dec,pitch,q1,q2,q3,q4,ra,roll                   
2009:193:06:13:56.197 2009:193:06:14:34.025 10168 XTZ0000005 TE_00452 NMAN      1         1        5         5         -99616 -536      49.06  62.48  54.56  68.41  0.62  -0.07 0.60  0.49 dec,pitch,q1,q2,q3,q4,ra,roll                   
2009:193:06:14:34.025 2009:193:06:17:16.972 10168 XTZ0000005 TE_00452 NMAN      1         1        5         5         -50504 -536      49.06  62.48  54.56  68.41  0.62  -0.07 0.60  0.49 simpos                                          
2009:193:06:17:16.972 2009:193:06:18:47.223 10168 XTZ0000005 TE_00452 NMAN      1         1        5         5         -50504 -716      49.06  62.48  54.56  68.41  0.62  -0.07 0.60  0.49 simfa_pos                                       
2009:193:06:18:47.223 2009:193:13:00:06.972 10168 XTZ0000005 TE_00452 NPNT      1         1        5         5         -50504 -716      49.11  64.64  57.52  63.77  0.61  -0.10 0.61  0.49 dec,pcad_mode,pitch,q1,q2,q3,q4,ra,roll         
2009:193:13:00:06.972 2009:193:13:03:06.972 10168 AA00000000 TE_00452 NPNT      1         0        5         5         -50504 -716      49.11  64.64  57.52  63.77  0.61  -0.10 0.61  0.49 clocking,power_cmd                              
2009:193:13:03:06.972 2009:193:13:03:17.223 10324 AA00000000 TE_00452 NMAN      1         0        5         5         75624  -716      49.11  64.64  57.52  63.77  0.61  -0.10 0.61  0.49 obsid,pcad_mode,simpos                          
2009:193:13:03:17.223 2009:193:13:06:06.972 10324 AA00000000 TE_00452 NMAN      1         0        5         5         75624  -716      49.63  64.64  57.52  63.77  0.61  -0.10 0.61  0.49 dec,pitch,q1,q2,q3,q4,ra,roll                   
2009:193:13:06:06.972 2009:193:13:06:10.972 10324 AA00000000 TE_00452 NMAN      1         0        5         5         75624  -716      49.63  64.64  57.52  63.77  0.61  -0.10 0.61  0.49 clocking,power_cmd                              
