datestart             datestop              dir                 
2010:085:04:30:01.285 2010:086:13:30:02.056 /2010/MAR2110/oflsa/
2010:086:18:32:25.884 2010:087:16:26:28.884 /2010/MAR2110/oflsa/
2010:087:16:23:28.884 2010:089:03:45:01.285 /2010/MAR2910/oflsa/
2010:089:05:15:01.285 2010:090:13:15:02.056 /2010/MAR2910/oflsa/
2010:090:21:11:55.315 2010:092:04:09:27.988 /2010/MAR2910/oflsa/
2010:092:04:10:47.121 2010:093:15:40:15.047 /2010/MAR2910/oflsa/
2010:093:20:30:00.000 2010:094:19:41:44.656 /2010/MAR2910/oflsa/
2010:094:19:41:02.526 2010:096:05:15:02.056 /2010/APR0510/oflsa/
2010:096:09:20:27.040 2010:097:14:33:18.560 /2010/APR0510/oflsa/
2010:097:19:21:44.746 2010:098:23:15:02.056 /2010/APR0510/oflsa/
2010:099:03:20:00.000 2010:100:11:40:05.675 /2010/APR0510/oflsa/
2010:100:12:30:01.285 2010:101:20:47:50.263 /2010/APR0510/oflsa/
2010:101:20:47:50.263 2010:103:11:05:01.285 /2010/APR1110/oflsb/
2010:103:12:35:01.285 2010:105:02:50:01.285 /2010/APR1110/oflsb/
2010:105:04:20:01.285 2010:106:12:40:02.056 /2010/APR1110/oflsb/
2010:106:19:05:00.000 2010:108:05:10:02.056 /2010/APR1110/oflsb/
2010:108:09:35:29.887 2010:109:00:06:26.480 /2010/APR1110/oflsb/
2010:109:00:03:26.480 2010:110:05:15:02.056 /2010/APR1910/oflsb/
2010:110:11:00:00.000 2010:111:13:06:25.360 /2010/APR1910/oflsb/
2010:111:20:55:00.000 2010:113:05:07:08.750 /2010/APR1910/oflsb/
2010:113:06:22:14.316 2010:114:12:30:02.056 /2010/APR1910/oflsb/
2010:114:19:20:00.000 2010:115:23:21:42.875 /2010/APR1910/oflsb/
2010:115:23:22:00.000 2010:117:05:15:02.056 /2010/APR2610/oflsb/
2010:117:11:10:00.000 2010:118:15:29:43.386 /2010/APR2610/oflsb/
2010:118:20:30:00.000 2010:120:05:15:02.056 /2010/APR2610/oflsb/
2010:120:12:30:00.000 2010:121:15:03:14.432 /2010/APR2610/oflsb/
2010:121:15:30:00.000 2010:122:18:43:02.698 /2010/APR2610/oflsb/
2010:122:18:40:02.698 2010:124:04:35:27.086 /2010/MAY0310/oflsb/
2010:124:06:47:57.179 2010:125:12:35:02.056 /2010/MAY0310/oflsb/
2010:125:15:41:14.179 2010:127:00:23:01.706 /2010/MAY0310/oflsb/
2010:127:01:56:30.736 2010:128:05:15:02.056 /2010/MAY0310/oflsb/
2010:128:11:45:00.000 2010:129:05:42:25.813 /2010/MAY0310/oflsb/
2010:129:05:42:00.000 2010:130:13:40:23.679 /2010/MAY1010/oflsa/
2010:130:17:35:00.000 2010:132:01:10:44.351 /2010/MAY1010/oflsa/
2010:132:03:45:00.000 2010:133:11:00:01.285 /2010/MAY1010/oflsa/
2010:133:12:30:01.285 2010:134:20:30:01.285 /2010/MAY1010/oflsa/
