ccd_count clocking datestart             datestop              dec    dither fep_count hetg letg obsid pcad_mode pitch  power_cmd  q1    q2    q3    q4   ra     roll   si_mode  simfa_pos simpos trans_keys                                       vid_board
5         0        2010:277:00:04:46.797 2010:277:00:07:42.940 56.34  None   5         RETR RETR 12143 NMAN      64.41  AA00000000 0.49  0.20  0.85  0.01 156.94 39.03  TE_0074C -468      75624  dec,pitch,q1,q2,q3,q4,ra,roll                    1        
5         0        2010:277:00:07:42.940 2010:277:00:07:46.940 56.34  None   5         RETR RETR 12143 NMAN      64.41  AA00000000 0.49  0.20  0.85  0.01 156.94 39.03  TE_0074C -468      75624  clocking,power_cmd                               1        
5         0        2010:277:00:07:46.940 2010:277:00:07:50.940 56.34  None   5         RETR RETR 12143 NMAN      64.41  AA00000000 0.49  0.20  0.85  0.01 156.94 39.03  TE_0074C -468      75624  clocking,power_cmd                               1        
0         0        2010:277:00:07:50.940 2010:277:00:08:14.940 56.34  None   0         RETR RETR 12143 NMAN      64.41  WSPOW00000 0.49  0.20  0.85  0.01 156.94 39.03  TE_0074C -468      75624  ccd_count,clocking,fep_count,power_cmd,vid_board 1        
2         0        2010:277:00:08:14.940 2010:277:00:09:17.940 56.34  None   2         RETR RETR 12143 NMAN      64.41  WSPOW0C006 0.49  0.20  0.85  0.01 156.94 39.03  TE_0074C -468      75624  ccd_count,clocking,fep_count,power_cmd,vid_board 1        
2         0        2010:277:00:09:17.940 2010:277:00:09:21.940 56.34  None   2         RETR RETR 12143 NMAN      64.41  WSPOW0C006 0.49  0.20  0.85  0.01 156.94 39.03  TE_0057A -468      75624  si_mode                                          1        
2         1        2010:277:00:09:21.940 2010:277:00:10:10.928 56.34  None   2         RETR RETR 12143 NMAN      64.41  XTZ0000005 0.49  0.20  0.85  0.01 156.94 39.03  TE_0057A -468      75624  clocking,power_cmd                               1        
2         1        2010:277:00:10:10.928 2010:277:00:15:35.059 37.49  None   2         RETR RETR 12143 NMAN      61.36  XTZ0000005 0.43  0.36  0.82  0.13 139.50 62.03  TE_0057A -468      75624  dec,pitch,q1,q2,q3,q4,ra,roll                    1        
2         1        2010:277:00:15:35.059 2010:277:00:20:59.190 21.30  None   2         RETR RETR 12143 NMAN      59.84  XTZ0000005 0.36  0.48  0.77  0.21 134.19 72.25  TE_0057A -468      75624  dec,pitch,q1,q2,q3,q4,ra,roll                    1        
2         1        2010:277:00:20:59.190 2010:277:03:11:58.940 16.42  None   2         RETR RETR 12143 NPNT      59.53  XTZ0000005 0.34  0.51  0.76  0.23 133.31 74.75  TE_0057A -468      75624  dec,pcad_mode,pitch,q1,q2,q3,q4,ra,roll          1        
2         0        2010:277:03:11:58.940 2010:277:03:12:09.191 16.42  None   2         RETR RETR 12143 NMAN      59.53  AA00000000 0.34  0.51  0.76  0.23 133.31 74.75  TE_0057A -468      75624  clocking,pcad_mode,power_cmd                     1        
2         0        2010:277:03:12:09.191 2010:277:03:14:58.940 16.42  None   2         RETR RETR 12143 NMAN      61.54  AA00000000 0.34  0.51  0.76  0.23 133.31 74.75  TE_0057A -468      75624  dec,pitch,q1,q2,q3,q4,ra,roll                    1        
2         0        2010:277:03:14:58.940 2010:277:03:15:02.940 16.42  None   2         RETR RETR 12171 NMAN      61.54  AA00000000 0.34  0.51  0.76  0.23 133.31 74.75  TE_0057A -468      75624  clocking,obsid,power_cmd                         1        
2         0        2010:277:03:15:02.940 2010:277:03:15:06.940 16.42  None   2         RETR RETR 12171 NMAN      61.54  AA00000000 0.34  0.51  0.76  0.23 133.31 74.75  TE_0057A -468      75624  clocking,power_cmd                               1        
