datestart             datestop              obsid power_cmd  si_mode  pcad_mode vid_board clocking fep_count ccd_count simpos simfa_pos pitch  ra     dec    roll   q1    q2    q3    q4   trans_keys                                      
2003:297:06:10:01.030 2003:297:06:10:05.030 3732  WSPOW08F3F TE_00452 NMAN      1         0        6         5         75624  -468      88.17  141.02 29.84  64.40  0.38  0.41  0.82  0.14 si_mode                                         
2003:297:06:10:05.030 2003:297:06:10:36.402 3732  XTZ0000005 TE_00452 NMAN      1         1        6         5         75624  -468      88.17  141.02 29.84  64.40  0.38  0.41  0.82  0.14 clocking,power_cmd                              
2003:297:06:10:36.402 2003:297:06:15:46.695 3732  XTZ0000005 TE_00452 NMAN      1         1        6         5         75624  -468      110.89 114.07 30.89  77.12  0.50  0.39  0.72  0.27 dec,pitch,q1,q2,q3,q4,ra,roll                   
2003:297:06:15:46.695 2003:297:06:20:35.299 3732  XTZ0000005 TE_00452 NMAN      1         1        6         5         75624  -468      130.45 87.87  26.90  88.86  0.61  0.35  0.60  0.39 dec,pitch,q1,q2,q3,q4,ra,roll                   
2003:297:06:20:35.299 2003:297:06:20:56.987 3732  XTZ0000005 TE_00452 NMAN      1         1        6         5         -50504 -468      130.45 87.87  26.90  88.86  0.61  0.35  0.60  0.39 simpos                                          
2003:297:06:20:56.987 2003:297:06:24:35.670 3732  XTZ0000005 TE_00452 NMAN      1         1        6         5         -50504 -468      141.02 70.36  21.42  95.29  0.67  0.32  0.49  0.46 dec,pitch,q1,q2,q3,q4,ra,roll                   
2003:297:06:24:35.670 2003:297:06:26:07.280 3732  XTZ0000005 TE_00452 NMAN      1         1        6         5         -50504 -716      141.02 70.36  21.42  95.29  0.67  0.32  0.49  0.46 simfa_pos                                       
2003:297:06:26:07.280 2003:297:13:34:01.025 3732  XTZ0000005 TE_00452 NPNT      1         1        6         5         -50504 -716      143.39 65.52  19.52  96.75  0.68  0.30  0.46  0.48 dec,pcad_mode,pitch,q1,q2,q3,q4,ra,roll         
2003:297:13:34:01.025 2003:297:13:35:06.685 3732  XTZ0000005 TE_00452 NPNT      1         1        6         5         -99616 -716      143.39 65.52  19.52  96.75  0.68  0.30  0.46  0.48 simpos                                          
2003:297:13:35:06.685 2003:297:13:35:07.710 3732  AA00000000 TE_00452 NPNT      1         0        6         5         -99616 -716      143.39 65.52  19.52  96.75  0.68  0.30  0.46  0.48 clocking,power_cmd                              
2003:297:13:35:07.710 2003:297:13:35:17.960 3732  AA00000000 TE_00452 NPNT      1         0        6         5         -99616 -716      143.39 65.52  19.52  96.75  0.68  0.30  0.46  0.48 clocking,power_cmd                              
2003:297:13:35:17.960 2003:298:18:55:02.498 3732  WSPOW00000 TE_00452 NPNT      1         0        0         0         -99616 -716      143.39 65.52  19.52  96.75  0.68  0.30  0.46  0.48 ccd_count,clocking,fep_count,power_cmd,vid_board
2003:298:18:55:02.498 2003:298:18:55:12.749 3732  WSPOW00000 TE_00452 NMAN      1         0        0         0         -99616 -716      143.39 65.52  19.52  96.75  0.68  0.30  0.46  0.48 pcad_mode                                       
2003:298:18:55:12.749 2003:298:18:58:02.498 3732  WSPOW00000 TE_00452 NMAN      1         0        0         0         -99616 -716      144.83 65.52  19.52  96.75  0.68  0.30  0.46  0.48 dec,pitch,q1,q2,q3,q4,ra,roll                   
2003:298:18:58:02.498 2003:298:19:00:26.892 60499 WSPOW00000 TE_00452 NMAN      1         0        0         0         -99616 -716      144.83 65.52  19.52  96.75  0.68  0.30  0.46  0.48 obsid                                           
2003:298:19:00:26.892 2003:298:19:05:41.035 60499 WSPOW00000 TE_00452 NMAN      1         0        0         0         -99616 -716      144.45 65.92  16.51  92.57  0.65  0.31  0.46  0.52 dec,pitch,q1,q2,q3,q4,ra,roll                   
2003:298:19:05:41.035 2003:298:19:10:55.179 60499 WSPOW00000 TE_00452 NMAN      1         0        0         0         -99616 -716      143.68 65.62  6.17   78.72  0.55  0.31  0.45  0.63 dec,pitch,q1,q2,q3,q4,ra,roll                   
2003:298:19:10:55.179 2003:298:19:16:09.322 60499 WSPOW00000 TE_00452 NMAN      1         0        0         0         -99616 -716      142.74 61.27  -7.18  59.73  0.40  0.30  0.41  0.76 dec,pitch,q1,q2,q3,q4,ra,roll                   
2003:298:19:16:09.322 2003:298:19:21:23.465 60499 WSPOW00000 TE_00452 NMAN      1         0        0         0         -99616 -716      141.98 52.41  -18.26 38.81  0.23  0.28  0.36  0.86 dec,pitch,q1,q2,q3,q4,ra,roll                   
2003:298:19:21:23.465 2003:298:19:26:37.608 60499 WSPOW00000 TE_00452 NMAN      1         0        0         0         -99616 -716      141.61 43.10  -23.89 21.55  0.10  0.26  0.32  0.91 dec,pitch,q1,q2,q3,q4,ra,roll                   
2003:298:19:26:37.608 2003:298:19:30:57.358 60499 WSPOW00000 TE_00452 NPNT      1         0        0         0         -99616 -716      141.53 40.00  -25.00 16.21  0.06  0.25  0.30  0.92 dec,pcad_mode,pitch,q1,q2,q3,q4,ra,roll         
2003:298:19:30:57.358 2003:298:19:31:01.358 60499 AA00000000 TE_00452 NPNT      1         0        0         0         -99616 -716      141.53 40.00  -25.00 16.21  0.06  0.25  0.30  0.92 clocking,power_cmd                              
2003:298:19:31:01.358 2003:298:19:31:05.358 60499 AA00000000 TE_00452 NPNT      1         0        0         0         -99616 -716      141.53 40.00  -25.00 16.21  0.06  0.25  0.30  0.92 clocking,power_cmd                              
2003:298:19:31:05.358 2003:298:19:31:29.358 60499 WSPOW00000 TE_00452 NPNT      1         0        0         0         -99616 -716      141.53 40.00  -25.00 16.21  0.06  0.25  0.30  0.92 ccd_count,clocking,fep_count,power_cmd,vid_board
2003:298:19:31:29.358 2003:298:19:32:32.358 60499 WSPOW3F03F TE_00452 NPNT      1         0        6         6         -99616 -716      141.53 40.00  -25.00 16.21  0.06  0.25  0.30  0.92 ccd_count,clocking,fep_count,power_cmd,vid_board
2003:298:19:32:32.358 2003:298:19:32:36.358 60499 WSPOW3F03F TE_0021C NPNT      1         0        6         6         -99616 -716      141.53 40.00  -25.00 16.21  0.06  0.25  0.30  0.92 si_mode                                         
2003:298:19:32:36.358 2003:298:22:17:37.358 60499 XTZ0000005 TE_0021C NPNT      1         1        6         6         -99616 -716      141.53 40.00  -25.00 16.21  0.06  0.25  0.30  0.92 clocking,power_cmd                              
2003:298:22:17:37.358 2003:298:22:17:47.609 60499 AA00000000 TE_0021C NMAN      1         0        6         6         -99616 -716      141.53 40.00  -25.00 16.21  0.06  0.25  0.30  0.92 clocking,pcad_mode,power_cmd                    
2003:298:22:17:47.609 2003:298:22:18:02.358 60499 AA00000000 TE_0021C NMAN      1         0        6         6         -99616 -716      139.71 40.00  -25.00 16.21  0.06  0.25  0.30  0.92 dec,pitch,q1,q2,q3,q4,ra,roll                   
2003:298:22:18:02.358 2003:298:22:20:37.358 60499 AA00000000 TE_0021C NMAN      1         0        6         6         75624  -716      139.71 40.00  -25.00 16.21  0.06  0.25  0.30  0.92 simpos                                          
2003:298:22:20:37.358 2003:298:22:20:41.358 3908  AA00000000 TE_0021C NMAN      1         0        6         6         75624  -716      139.71 40.00  -25.00 16.21  0.06  0.25  0.30  0.92 clocking,obsid,power_cmd                        
2003:298:22:20:41.358 2003:298:22:20:45.358 3908  AA00000000 TE_0021C NMAN      1         0        6         6         75624  -716      139.71 40.00  -25.00 16.21  0.06  0.25  0.30  0.92 clocking,power_cmd                              
2003:298:22:20:45.358 2003:298:22:21:09.358 3908  WSPOW00000 TE_0021C NMAN      1         0        0         0         75624  -716      139.71 40.00  -25.00 16.21  0.06  0.25  0.30  0.92 ccd_count,clocking,fep_count,power_cmd,vid_board
2003:298:22:21:09.358 2003:298:22:22:12.358 3908  WSPOW1EC3F TE_0021C NMAN      1         0        6         6         75624  -716      139.71 40.00  -25.00 16.21  0.06  0.25  0.30  0.92 ccd_count,clocking,fep_count,power_cmd,vid_board
2003:298:22:22:12.358 2003:298:22:22:16.358 3908  WSPOW1EC3F TE_004F2 NMAN      1         0        6         6         75624  -716      139.71 40.00  -25.00 16.21  0.06  0.25  0.30  0.92 si_mode                                         
2003:298:22:22:16.358 2003:298:22:22:18.043 3908  XTZ0000005 TE_004F2 NMAN      1         1        6         6         75624  -716      139.71 40.00  -25.00 16.21  0.06  0.25  0.30  0.92 clocking,power_cmd                              
2003:298:22:22:18.043 2003:298:22:26:48.476 3908  XTZ0000005 TE_004F2 NMAN      1         1        6         6         75624  -716      131.54 41.20  -28.47 16.76  0.05  0.28  0.30  0.91 dec,pitch,q1,q2,q3,q4,ra,roll                   
2003:298:22:26:48.476 2003:298:22:31:18.910 3908  XTZ0000005 TE_004F2 NMAN      1         1        6         6         75624  -716      115.57 46.17  -40.50 19.63  0.01  0.38  0.31  0.87 dec,pitch,q1,q2,q3,q4,ra,roll                   
2003:298:22:31:18.910 2003:298:22:35:49.343 3908  XTZ0000005 TE_004F2 NMAN      1         1        6         6         75624  -716      99.59  58.66  -58.02 29.28  -0.04 0.52  0.31  0.80 dec,pitch,q1,q2,q3,q4,ra,roll                   
2003:298:22:35:49.343 2003:298:22:37:29.765 3908  XTZ0000005 TE_004F2 NMAN      1         1        6         6         75624  -716      91.43  75.84  -68.17 44.72  -0.07 0.60  0.30  0.74 dec,pitch,q1,q2,q3,q4,ra,roll                   
2003:298:22:37:29.765 2003:298:22:38:52.125 3908  XTZ0000005 TE_004F2 NMAN      1         1        6         6         75624  -418      91.43  75.84  -68.17 44.72  -0.07 0.60  0.30  0.74 simfa_pos                                       
2003:298:22:38:52.125 2003:298:22:40:19.777 3908  XTZ0000005 TE_004F2 NMAN      1         1        6         6         75624  -468      91.43  75.84  -68.17 44.72  -0.07 0.60  0.30  0.74 simfa_pos                                       
2003:298:22:40:19.777 2003:299:15:25:37.358 3908  XTZ0000005 TE_004F2 NPNT      1         1        6         6         75624  -468      89.61  83.63  -70.56 52.02  -0.08 0.63  0.30  0.72 dec,pcad_mode,pitch,q1,q2,q3,q4,ra,roll         
2003:299:15:25:37.358 2003:299:15:25:47.609 3908  AA00000000 TE_004F2 NMAN      1         0        6         6         75624  -468      89.61  83.63  -70.56 52.02  -0.08 0.63  0.30  0.72 clocking,pcad_mode,power_cmd                    
2003:299:15:25:47.609 2003:299:15:28:37.358 3908  AA00000000 TE_004F2 NMAN      1         0        6         6         75624  -468      88.78  83.63  -70.56 52.02  -0.08 0.63  0.30  0.72 dec,pitch,q1,q2,q3,q4,ra,roll                   
2003:299:15:28:37.358 2003:299:15:28:40.358 3713  AA00000000 TE_004F2 NMAN      1         0        6         6         75624  -468      88.78  83.63  -70.56 52.02  -0.08 0.63  0.30  0.72 obsid                                           
2003:299:15:28:40.358 2003:299:15:28:44.358 3713  AA00000000 TE_004F2 NMAN      1         0        6         6         75624  -468      88.78  83.63  -70.56 52.02  -0.08 0.63  0.30  0.72 clocking,power_cmd                              
2003:299:15:28:44.358 2003:299:15:29:08.358 3713  WSPOW00000 TE_004F2 NMAN      1         0        0         0         75624  -468      88.78  83.63  -70.56 52.02  -0.08 0.63  0.30  0.72 ccd_count,clocking,fep_count,power_cmd,vid_board
2003:299:15:29:08.358 2003:299:15:30:11.358 3713  WSPOW08F3F TE_004F2 NMAN      1         0        6         5         75624  -468      88.78  83.63  -70.56 52.02  -0.08 0.63  0.30  0.72 ccd_count,clocking,fep_count,power_cmd,vid_board
2003:299:15:30:11.358 2003:299:15:30:15.358 3713  WSPOW08F3F TE_00452 NMAN      1         0        6         5         75624  -468      88.78  83.63  -70.56 52.02  -0.08 0.63  0.30  0.72 si_mode                                         
2003:299:15:30:15.358 2003:299:15:30:29.548 3713  XTZ0000005 TE_00452 NMAN      1         1        6         5         75624  -468      88.78  83.63  -70.56 52.02  -0.08 0.63  0.30  0.72 clocking,power_cmd                              
2003:299:15:30:29.548 2003:299:15:35:11.488 3713  XTZ0000005 TE_00452 NMAN      1         1        6         5         75624  -468      85.25  93.12  -68.43 60.36  -0.07 0.64  0.32  0.70 dec,pitch,q1,q2,q3,q4,ra,roll                   
2003:299:15:35:11.488 2003:299:15:39:03.384 3713  XTZ0000005 TE_00452 NMAN      1         1        6         5         75624  -468      79.71  114.61 -58.54 77.76  -0.02 0.67  0.41  0.63 dec,pitch,q1,q2,q3,q4,ra,roll                   
2003:299:15:39:03.384 2003:299:15:39:53.427 3713  XTZ0000005 TE_00452 NMAN      1         1        6         5         -50504 -468      79.71  114.61 -58.54 77.76  -0.02 0.67  0.41  0.63 simpos                                          
2003:299:15:39:53.427 2003:299:15:43:03.755 3713  XTZ0000005 TE_00452 NMAN      1         1        6         5         -50504 -468      76.13  126.53 -46.92 85.37  0.02  0.69  0.48  0.54 dec,pitch,q1,q2,q3,q4,ra,roll                   
2003:299:15:43:03.755 2003:299:15:44:35.367 3713  XTZ0000005 TE_00452 NMAN      1         1        6         5         -50504 -716      76.13  126.53 -46.92 85.37  0.02  0.69  0.48  0.54 simfa_pos                                       
2003:299:15:44:35.367 2003:299:19:22:01.025 3713  XTZ0000005 TE_00452 NPNT      1         1        6         5         -50504 -716      75.33  129.12 -43.42 86.65  0.03  0.69  0.50  0.52 dec,pcad_mode,pitch,q1,q2,q3,q4,ra,roll         
2003:299:19:22:01.025 2003:299:19:23:06.685 3713  XTZ0000005 TE_00452 NPNT      1         1        6         5         -99616 -716      75.33  129.12 -43.42 86.65  0.03  0.69  0.50  0.52 simpos                                          
