ccd_count clocking datestart             datestop              dec    fep_count hetg letg obsid pcad_mode pitch  power_cmd  q1    q2    q3    q4   ra     roll   si_mode  simfa_pos simpos trans_keys                                       vid_board
6         0        2010:017:10:30:02.003 2010:017:10:30:12.254 37.15  6         RETR RETR 11092 NMAN      58.27  AA00000000 -0.20 -0.26 -0.46 0.83 304.04 353.62 TE_004DE -536      75624  clocking,pcad_mode,power_cmd,simpos              1        
6         0        2010:017:10:30:12.254 2010:017:10:32:01.179 37.15  6         RETR RETR 11092 NMAN      60.24  AA00000000 -0.20 -0.26 -0.46 0.83 304.04 353.62 TE_004DE -536      75624  dec,pitch,q1,q2,q3,q4,ra,roll                    1        
6         0        2010:017:10:32:01.179 2010:017:10:33:02.003 37.15  6         RETR RETR 11092 NMAN      60.24  AA00000000 -0.20 -0.26 -0.46 0.83 304.04 353.62 TE_004DE -418      75624  simfa_pos                                        1        
6         0        2010:017:10:33:02.003 2010:017:10:33:06.003 37.15  6         RETR RETR 11449 NMAN      60.24  AA00000000 -0.20 -0.26 -0.46 0.83 304.04 353.62 TE_004DE -418      75624  clocking,obsid,power_cmd                         1        
6         0        2010:017:10:33:06.003 2010:017:10:33:10.003 37.15  6         RETR RETR 11449 NMAN      60.24  AA00000000 -0.20 -0.26 -0.46 0.83 304.04 353.62 TE_004DE -418      75624  clocking,power_cmd                               1        
0         0        2010:017:10:33:10.003 2010:017:10:33:19.939 37.15  0         RETR RETR 11449 NMAN      60.24  WSPOW00000 -0.20 -0.26 -0.46 0.83 304.04 353.62 TE_004DE -418      75624  ccd_count,clocking,fep_count,power_cmd,vid_board 1        
0         0        2010:017:10:33:19.939 2010:017:10:33:34.003 37.15  0         RETR RETR 11449 NMAN      60.24  WSPOW00000 -0.20 -0.26 -0.46 0.83 304.04 353.62 TE_004DE -468      75624  simfa_pos                                        1        
1         0        2010:017:10:33:34.003 2010:017:10:34:37.003 37.15  1         RETR RETR 11449 NMAN      60.24  WSPOW08002 -0.20 -0.26 -0.46 0.83 304.04 353.62 TE_004DE -468      75624  ccd_count,clocking,fep_count,power_cmd,vid_board 1        
1         0        2010:017:10:34:37.003 2010:017:10:34:41.003 37.15  1         RETR RETR 11449 NMAN      60.24  WSPOW08002 -0.20 -0.26 -0.46 0.83 304.04 353.62 TE_008FC -468      75624  si_mode                                          1        
1         1        2010:017:10:34:41.003 2010:017:10:35:12.660 37.15  1         RETR RETR 11449 NMAN      60.24  XTZ0000005 -0.20 -0.26 -0.46 0.83 304.04 353.62 TE_008FC -468      75624  clocking,power_cmd                               1        
1         1        2010:017:10:35:12.660 2010:017:10:40:13.067 41.63  1         RETR RETR 11449 NMAN      70.06  XTZ0000005 -0.21 -0.29 -0.46 0.81 302.81 354.21 TE_008FC -468      75624  dec,pitch,q1,q2,q3,q4,ra,roll                    1        
1         1        2010:017:10:40:13.067 2010:017:10:45:13.473 56.94  1         RETR RETR 11449 NMAN      88.61  XTZ0000005 -0.26 -0.40 -0.47 0.74 296.87 358.09 TE_008FC -468      75624  dec,pitch,q1,q2,q3,q4,ra,roll                    1        
1         1        2010:017:10:45:13.473 2010:017:10:50:13.879 77.19  1         RETR RETR 11449 NMAN      110.46 XTZ0000005 -0.33 -0.54 -0.46 0.63 269.10 23.18  TE_008FC -468      75624  dec,pitch,q1,q2,q3,q4,ra,roll                    1        
1         1        2010:017:10:50:13.879 2010:017:10:55:14.285 74.87  1         RETR RETR 11449 NMAN      129.01 XTZ0000005 -0.38 -0.66 -0.43 0.48 161.99 127.70 TE_008FC -468      75624  dec,pitch,q1,q2,q3,q4,ra,roll                    1        
1         1        2010:017:10:55:14.285 2010:017:11:00:14.692 60.52  1         RETR RETR 11449 NMAN      138.82 XTZ0000005 -0.40 -0.73 -0.40 0.37 143.73 144.08 TE_008FC -468      75624  dec,pitch,q1,q2,q3,q4,ra,roll                    1        
1         1        2010:017:11:00:14.692 2010:017:11:37:54.441 56.13  1         RETR RETR 11449 NPNT      141.01 XTZ0000005 -0.41 -0.75 -0.39 0.34 141.20 146.04 TE_008FC -468      75624  dec,pcad_mode,pitch,q1,q2,q3,q4,ra,roll          1        
1         0        2010:017:11:37:54.441 2010:017:11:38:04.692 56.13  1         RETR RETR 11449 NMAN      141.01 AA00000000 -0.41 -0.75 -0.39 0.34 141.20 146.04 TE_008FC -468      75624  clocking,pcad_mode,power_cmd                     1        
