ccd_count clocking datestart             datestop              dec    fep_count hetg letg obsid pcad_mode pitch  power_cmd  q1    q2    q3    q4   ra     roll   si_mode  simfa_pos simpos trans_keys                                       vid_board
6         0        2009:186:04:58:10.890 2009:186:04:58:14.890 -21.06 6         RETR RETR 10747 NMAN      61.63  AA00000000 0.74  0.53  0.05  0.41 62.10  134.88 TE_004F2 -536      90920  clocking,obsid,power_cmd                         1        
6         0        2009:186:04:58:14.890 2009:186:04:58:18.890 -21.06 6         RETR RETR 10747 NMAN      61.63  AA00000000 0.74  0.53  0.05  0.41 62.10  134.88 TE_004F2 -536      90920  clocking,power_cmd                               1        
0         0        2009:186:04:58:18.890 2009:186:04:58:42.890 -21.06 0         RETR RETR 10747 NMAN      61.63  WSPOW00000 0.74  0.53  0.05  0.41 62.10  134.88 TE_004F2 -536      90920  ccd_count,clocking,fep_count,power_cmd,vid_board 1        
5         0        2009:186:04:58:42.890 2009:186:04:59:45.890 -21.06 5         RETR RETR 10747 NMAN      61.63  WSPOW04F3E 0.74  0.53  0.05  0.41 62.10  134.88 TE_004F2 -536      90920  ccd_count,clocking,fep_count,power_cmd,vid_board 1        
5         0        2009:186:04:59:45.890 2009:186:04:59:49.890 -21.06 5         RETR RETR 10747 NMAN      61.63  WSPOW04F3E 0.74  0.53  0.05  0.41 62.10  134.88 TE_00458 -536      90920  si_mode                                          1        
5         1        2009:186:04:59:49.890 2009:186:05:00:14.845 -21.06 5         RETR RETR 10747 NMAN      61.63  XTZ0000005 0.74  0.53  0.05  0.41 62.10  134.88 TE_00458 -536      90920  clocking,power_cmd                               1        
5         1        2009:186:05:00:14.845 2009:186:05:05:08.550 -20.54 5         RETR RETR 10747 NMAN      68.32  XTZ0000005 0.76  0.50  0.04  0.42 57.50  133.77 TE_00458 -536      90920  dec,pitch,q1,q2,q3,q4,ra,roll                    1        
5         1        2009:186:05:05:08.550 2009:186:05:10:02.254 -18.14 5         RETR RETR 10747 NMAN      81.98  XTZ0000005 0.81  0.38  0.01  0.44 41.84  130.38 TE_00458 -536      90920  dec,pitch,q1,q2,q3,q4,ra,roll                    1        
5         1        2009:186:05:10:02.254 2009:186:05:14:55.959 -13.35 5         RETR RETR 10747 NMAN      99.09  XTZ0000005 0.87  0.20  -0.03 0.45 19.80  126.99 TE_00458 -536      90920  dec,pitch,q1,q2,q3,q4,ra,roll                    1        
5         1        2009:186:05:14:55.959 2009:186:05:19:49.663 -7.66  5         RETR RETR 10747 NMAN      116.31 XTZ0000005 0.89  0.02  -0.07 0.45 358.31 125.71 TE_00458 -536      90920  dec,pitch,q1,q2,q3,q4,ra,roll                    1        
5         1        2009:186:05:19:49.663 2009:186:05:24:43.367 -1.94  5         RETR RETR 10747 NMAN      130.13 XTZ0000005 0.88  -0.17 -0.10 0.44 337.26 126.59 TE_00458 -536      90920  dec,pitch,q1,q2,q3,q4,ra,roll                    1        
5         1        2009:186:05:24:43.367 2009:186:05:29:37.072 1.64   5         RETR RETR 10747 NMAN      136.87 XTZ0000005 0.85  -0.29 -0.13 0.42 322.73 128.38 TE_00458 -536      90920  dec,pitch,q1,q2,q3,q4,ra,roll                    1        
5         1        2009:186:05:29:37.072 2009:186:08:20:36.822 2.58   5         RETR RETR 10747 NPNT      138.27 XTZ0000005 0.84  -0.33 -0.13 0.41 318.49 129.06 TE_00458 -536      90920  dec,pcad_mode,pitch,q1,q2,q3,q4,ra,roll          1        
5         0        2009:186:08:20:36.822 2009:186:08:20:47.073 2.58   5         RETR RETR 10747 NMAN      138.27 AA00000000 0.84  -0.33 -0.13 0.41 318.49 129.06 TE_00458 -536      75624  clocking,pcad_mode,power_cmd,simpos              1        
5         0        2009:186:08:20:47.073 2009:186:08:22:33.262 2.58   5         RETR RETR 10747 NMAN      141.13 AA00000000 0.84  -0.33 -0.13 0.41 318.49 129.06 TE_00458 -536      75624  dec,pitch,q1,q2,q3,q4,ra,roll                    1        
5         0        2009:186:08:22:33.262 2009:186:08:23:36.822 2.58   5         RETR RETR 10747 NMAN      141.13 AA00000000 0.84  -0.33 -0.13 0.41 318.49 129.06 TE_00458 -418      75624  simfa_pos                                        1        
5         0        2009:186:08:23:36.822 2009:186:08:23:40.822 2.58   5         RETR RETR 10106 NMAN      141.13 AA00000000 0.84  -0.33 -0.13 0.41 318.49 129.06 TE_00458 -418      75624  clocking,obsid,power_cmd                         1        
5         0        2009:186:08:23:40.822 2009:186:08:23:44.822 2.58   5         RETR RETR 10106 NMAN      141.13 AA00000000 0.84  -0.33 -0.13 0.41 318.49 129.06 TE_00458 -418      75624  clocking,power_cmd                               1        
0         0        2009:186:08:23:44.822 2009:186:08:23:52.022 2.58   0         RETR RETR 10106 NMAN      141.13 WSPOW00000 0.84  -0.33 -0.13 0.41 318.49 129.06 TE_00458 -418      75624  ccd_count,clocking,fep_count,power_cmd,vid_board 1        
0         0        2009:186:08:23:52.022 2009:186:08:24:08.822 2.58   0         RETR RETR 10106 NMAN      141.13 WSPOW00000 0.84  -0.33 -0.13 0.41 318.49 129.06 TE_00458 -468      75624  simfa_pos                                        1        
6         0        2009:186:08:24:08.822 2009:186:08:25:11.822 2.58   6         RETR RETR 10106 NMAN      141.13 WSPOW1CE3F 0.84  -0.33 -0.13 0.41 318.49 129.06 TE_00458 -468      75624  ccd_count,clocking,fep_count,power_cmd,vid_board 1        
6         0        2009:186:08:25:11.822 2009:186:08:25:15.822 2.58   6         RETR RETR 10106 NMAN      141.13 WSPOW1CE3F 0.84  -0.33 -0.13 0.41 318.49 129.06 TE_0087C -468      75624  si_mode                                          1        
6         1        2009:186:08:25:15.822 2009:186:08:27:00.962 2.58   6         RETR RETR 10106 NMAN      141.13 XTZ0000005 0.84  -0.33 -0.13 0.41 318.49 129.06 TE_0087C -468      75624  clocking,power_cmd                               1        
6         1        2009:186:08:27:00.962 2009:186:08:33:14.851 -3.05  6         RETR RETR 10106 NMAN      146.66 XTZ0000005 0.83  -0.32 -0.19 0.42 315.85 125.15 TE_0087C -468      75624  dec,pitch,q1,q2,q3,q4,ra,roll                    1        
6         1        2009:186:08:33:14.851 2009:186:11:20:07.822 -8.47  6         RETR RETR 10106 NPNT      149.43 XTZ0000005 0.81  -0.31 -0.26 0.42 312.80 120.95 TE_0087C -468      75624  dec,pcad_mode,pitch,q1,q2,q3,q4,ra,roll          1        
6         0        2009:186:11:20:07.822 2009:186:11:20:18.073 -8.47  6         RETR RETR 10106 NMAN      149.43 AA00000000 0.81  -0.31 -0.26 0.42 312.80 120.95 TE_0087C -468      75624  clocking,pcad_mode,power_cmd                     1        
6         0        2009:186:11:20:18.073 2009:186:11:23:07.822 -8.47  6         RETR RETR 10106 NMAN      149.53 AA00000000 0.81  -0.31 -0.26 0.42 312.80 120.95 TE_0087C -468      75624  dec,pitch,q1,q2,q3,q4,ra,roll                    1        
6         0        2009:186:11:23:07.822 2009:186:11:24:18.073 -8.47  6         RETR RETR 10107 NMAN      149.53 AA00000000 0.81  -0.31 -0.26 0.42 312.80 120.95 TE_0087C -468      75624  obsid                                            1        
