ccd_count clocking datestart             datestop              dec    fep_count hetg letg obsid pcad_mode pitch  power_cmd  q1    q2    q3    q4   ra     roll   si_mode  simfa_pos simpos trans_keys                                       vid_board
6         0        2009:221:20:00:00.000 2009:221:20:00:10.251 -40.00 6         RETR RETR 56901 NMAN      137.82 WSVIDALLDN -0.21 0.55  -0.36 0.72 280.00 293.78 TE_0021C -468      -99616 obsid,pcad_mode                                  0        
6         0        2009:221:20:00:10.251 2009:221:20:05:15.595 -40.00 6         RETR RETR 56901 NMAN      137.60 WSVIDALLDN -0.21 0.55  -0.36 0.72 280.00 293.78 TE_0021C -468      -99616 dec,pitch,q1,q2,q3,q4,ra,roll                    0        
6         0        2009:221:20:05:15.595 2009:221:20:10:20.940 -43.05 6         RETR RETR 56901 NMAN      137.00 WSVIDALLDN -0.17 0.55  -0.36 0.74 281.59 298.29 TE_0021C -468      -99616 dec,pitch,q1,q2,q3,q4,ra,roll                    0        
6         0        2009:221:20:10:20.940 2009:221:20:15:26.284 -52.47 6         RETR RETR 56901 NMAN      136.07 WSVIDALLDN -0.04 0.53  -0.34 0.78 290.62 316.82 TE_0021C -468      -99616 dec,pitch,q1,q2,q3,q4,ra,roll                    0        
6         0        2009:221:20:15:26.284 2009:221:20:20:31.628 -58.98 6         RETR RETR 56901 NMAN      135.48 WSVIDALLDN 0.10  0.50  -0.32 0.80 306.87 342.13 TE_0021C -468      -99616 dec,pitch,q1,q2,q3,q4,ra,roll                    0        
6         0        2009:221:20:20:31.628 2009:222:04:27:40.268 -60.00 6         RETR RETR 56901 NPNT      135.35 WSVIDALLDN 0.14  0.48  -0.31 0.81 313.00 350.86 TE_0021C -468      -99616 dec,pcad_mode,pitch,q1,q2,q3,q4,ra,roll          0        
6         0        2009:222:04:27:40.268 2009:222:04:27:50.519 -60.00 6         RETR RETR 56900 NMAN      135.35 WSVIDALLDN 0.14  0.48  -0.31 0.81 313.00 350.86 TE_0021C -468      -99616 obsid,pcad_mode                                  0        
6         0        2009:222:04:27:50.519 2009:222:04:32:28.808 -60.00 6         RETR RETR 56900 NMAN      135.30 WSVIDALLDN 0.14  0.48  -0.31 0.81 313.00 350.86 TE_0021C -468      -99616 dec,pitch,q1,q2,q3,q4,ra,roll                    0        
6         0        2009:222:04:32:28.808 2009:222:04:37:07.096 -59.26 6         RETR RETR 56900 NMAN      135.64 WSVIDALLDN 0.10  0.49  -0.31 0.80 308.01 343.71 TE_0021C -468      -99616 dec,pitch,q1,q2,q3,q4,ra,roll                    0        
6         0        2009:222:04:37:07.096 2009:222:04:41:45.385 -54.53 6         RETR RETR 56900 NMAN      136.40 WSVIDALLDN -0.01 0.52  -0.33 0.78 293.62 321.72 TE_0021C -468      -99616 dec,pitch,q1,q2,q3,q4,ra,roll                    0        
6         0        2009:222:04:41:45.385 2009:222:04:46:23.673 -43.21 6         RETR RETR 56900 NMAN      137.39 WSVIDALLDN -0.18 0.55  -0.36 0.74 281.26 297.22 TE_0021C -468      -99616 dec,pitch,q1,q2,q3,q4,ra,roll                    0        
6         0        2009:222:04:46:23.673 2009:222:04:51:01.962 -29.76 6         RETR RETR 56900 NMAN      138.21 WSVIDALLDN -0.34 0.56  -0.37 0.66 276.88 279.47 TE_0021C -468      -99616 dec,pitch,q1,q2,q3,q4,ra,roll                    0        
6         0        2009:222:04:51:01.962 2009:222:04:55:40.250 -20.62 6         RETR RETR 56900 NMAN      138.61 WSVIDALLDN -0.44 0.56  -0.37 0.60 276.73 269.49 TE_0021C -468      -99616 dec,pitch,q1,q2,q3,q4,ra,roll                    0        
6         0        2009:222:04:55:40.250 2009:222:05:21:20.045 -18.00 6         RETR RETR 56900 NPNT      138.70 WSVIDALLDN -0.47 0.56  -0.36 0.58 277.00 266.74 TE_0021C -468      -99616 dec,pcad_mode,pitch,q1,q2,q3,q4,ra,roll          0        
6         0        2009:222:05:21:20.045 2009:222:05:21:24.045 -18.00 6         RETR RETR 56899 NPNT      138.70 AA00000000 -0.47 0.56  -0.36 0.58 277.00 266.74 TE_0021C -468      -99616 clocking,obsid,power_cmd                         0        
6         0        2009:222:05:21:24.045 2009:222:05:21:28.045 -18.00 6         RETR RETR 56899 NPNT      138.70 AA00000000 -0.47 0.56  -0.36 0.58 277.00 266.74 TE_0021C -468      -99616 clocking,power_cmd                               0        
0         0        2009:222:05:21:28.045 2009:222:05:21:52.045 -18.00 0         RETR RETR 56899 NPNT      138.70 WSPOW00000 -0.47 0.56  -0.36 0.58 277.00 266.74 TE_0021C -468      -99616 ccd_count,clocking,fep_count,power_cmd,vid_board 1        
6         0        2009:222:05:21:52.045 2009:222:05:22:55.045 -18.00 6         RETR RETR 56899 NPNT      138.70 WSPOW3F03F -0.47 0.56  -0.36 0.58 277.00 266.74 TE_0021C -468      -99616 ccd_count,clocking,fep_count,power_cmd,vid_board 1        
6         1        2009:222:05:22:55.045 2009:222:08:03:09.018 -18.00 6         RETR RETR 56899 NPNT      138.70 XTZ0000005 -0.47 0.56  -0.36 0.58 277.00 266.74 TE_0021C -468      -99616 clocking,power_cmd                               1        
6         1        2009:222:08:03:09.018 2009:222:08:03:19.269 -18.00 6         RETR RETR 56899 NMAN      138.70 XTZ0000005 -0.47 0.56  -0.36 0.58 277.00 266.74 TE_0021C -468      -99616 pcad_mode                                        1        
6         1        2009:222:08:03:19.269 2009:222:08:08:00.045 -18.00 6         RETR RETR 56899 NMAN      136.30 XTZ0000005 -0.47 0.56  -0.36 0.58 277.00 266.74 TE_0021C -468      -99616 dec,pitch,q1,q2,q3,q4,ra,roll                    1        
6         0        2009:222:08:08:00.045 2009:222:08:08:33.000 -18.00 6         RETR RETR 56899 NMAN      136.30 AA00000000 -0.47 0.56  -0.36 0.58 277.00 266.74 TE_0021C -468      75624  clocking,power_cmd,simpos                        1        
6         0        2009:222:08:08:33.000 2009:222:08:11:00.045 -19.18 6         RETR RETR 56899 NMAN      131.74 AA00000000 -0.44 0.58  -0.38 0.57 272.12 266.60 TE_0021C -468      75624  dec,pitch,q1,q2,q3,q4,ra,roll                    1        
