ccd_count clocking datestart             datestop              dec    fep_count hetg letg obsid pcad_mode pitch  power_cmd  q1    q2    q3    q4   ra     roll   si_mode  simfa_pos simpos trans_keys                                       vid_board
6         0        2003:102:00:44:00.230 2003:102:00:44:10.481 1.94   6         RETR RETR 3929  NMAN      156.16 AA00000000 0.29  -0.80 -0.49 0.20 221.26 115.61 TE_002AC -536      92904  clocking,pcad_mode,power_cmd                     1        
6         0        2003:102:00:44:10.481 2003:102:00:46:37.807 1.94   6         RETR RETR 3929  NMAN      158.52 AA00000000 0.29  -0.80 -0.49 0.20 221.26 115.61 TE_002AC -536      92904  dec,pitch,q1,q2,q3,q4,ra,roll                    1        
6         0        2003:102:00:46:37.807 2003:102:00:47:00.230 1.94   6         RETR RETR 3929  NMAN      158.52 AA00000000 0.29  -0.80 -0.49 0.20 221.26 115.61 TE_002AC -536      75624  simpos                                           1        
6         0        2003:102:00:47:00.230 2003:102:00:47:04.230 1.94   6         RETR RETR 4091  NMAN      158.52 AA00000000 0.29  -0.80 -0.49 0.20 221.26 115.61 TE_002AC -536      75624  clocking,obsid,power_cmd                         1        
6         0        2003:102:00:47:04.230 2003:102:00:47:08.230 1.94   6         RETR RETR 4091  NMAN      158.52 AA00000000 0.29  -0.80 -0.49 0.20 221.26 115.61 TE_002AC -536      75624  clocking,power_cmd                               1        
0         0        2003:102:00:47:08.230 2003:102:00:47:32.230 1.94   0         RETR RETR 4091  NMAN      158.52 WSPOW00000 0.29  -0.80 -0.49 0.20 221.26 115.61 TE_002AC -536      75624  ccd_count,clocking,fep_count,power_cmd,vid_board 1        
6         0        2003:102:00:47:32.230 2003:102:00:48:33.075 1.94   6         RETR RETR 4091  NMAN      158.52 WSPOW1EC3F 0.29  -0.80 -0.49 0.20 221.26 115.61 TE_002AC -536      75624  ccd_count,clocking,fep_count,power_cmd,vid_board 1        
6         0        2003:102:00:48:33.075 2003:102:00:48:35.230 1.94   6         RETR RETR 4091  NMAN      158.52 WSPOW1EC3F 0.29  -0.80 -0.49 0.20 221.26 115.61 TE_002AC -418      75624  simfa_pos                                        1        
6         0        2003:102:00:48:35.230 2003:102:00:48:39.230 1.94   6         RETR RETR 4091  NMAN      158.52 WSPOW1EC3F 0.29  -0.80 -0.49 0.20 221.26 115.61 TE_002A2 -418      75624  si_mode                                          1        
6         1        2003:102:00:48:39.230 2003:102:00:49:51.835 1.94   6         RETR RETR 4091  NMAN      158.52 XTZ0000005 0.29  -0.80 -0.49 0.20 221.26 115.61 TE_002A2 -418      75624  clocking,power_cmd                               1        
6         1        2003:102:00:49:51.835 2003:102:00:51:19.487 1.94   6         RETR RETR 4091  NMAN      158.52 XTZ0000005 0.29  -0.80 -0.49 0.20 221.26 115.61 TE_002A2 -468      75624  simfa_pos                                        1        
6         1        2003:102:00:51:19.487 2003:102:01:45:27.230 -0.13  6         RETR RETR 4091  NPNT      160.59 XTZ0000005 0.27  -0.80 -0.50 0.17 217.67 115.78 TE_002A2 -468      75624  dec,pcad_mode,pitch,q1,q2,q3,q4,ra,roll          1        
6         0        2003:102:01:45:27.230 2003:102:01:45:37.481 -0.13  6         RETR RETR 4091  NMAN      160.59 AA00000000 0.27  -0.80 -0.50 0.17 217.67 115.78 TE_002A2 -468      75624  clocking,pcad_mode,power_cmd                     1        
6         0        2003:102:01:45:37.481 2003:102:01:48:27.230 -0.13  6         RETR RETR 4091  NMAN      158.89 AA00000000 0.27  -0.80 -0.50 0.17 217.67 115.78 TE_002A2 -468      75624  dec,pitch,q1,q2,q3,q4,ra,roll                    1        
6         0        2003:102:01:48:27.230 2003:102:01:48:31.230 -0.13  6         RETR RETR 3984  NMAN      158.89 AA00000000 0.27  -0.80 -0.50 0.17 217.67 115.78 TE_002A2 -468      75624  clocking,obsid,power_cmd                         1        
6         0        2003:102:01:48:31.230 2003:102:01:48:35.230 -0.13  6         RETR RETR 3984  NMAN      158.89 AA00000000 0.27  -0.80 -0.50 0.17 217.67 115.78 TE_002A2 -468      75624  clocking,power_cmd                               1        
0         0        2003:102:01:48:35.230 2003:102:01:48:59.230 -0.13  0         RETR RETR 3984  NMAN      158.89 WSPOW00000 0.27  -0.80 -0.50 0.17 217.67 115.78 TE_002A2 -468      75624  ccd_count,clocking,fep_count,power_cmd,vid_board 1        
4         0        2003:102:01:48:59.230 2003:102:01:50:02.230 -0.13  6         RETR RETR 3984  NMAN      158.89 WSPOW1E03F 0.27  -0.80 -0.50 0.17 217.67 115.78 TE_002A2 -468      75624  ccd_count,clocking,fep_count,power_cmd,vid_board 1        
4         0        2003:102:01:50:02.230 2003:102:01:50:06.230 -0.13  6         RETR RETR 3984  NMAN      158.89 WSPOW1E03F 0.27  -0.80 -0.50 0.17 217.67 115.78 TE_005EC -468      75624  si_mode                                          1        
4         1        2003:102:01:50:06.230 2003:102:01:50:18.769 -0.13  6         RETR RETR 3984  NMAN      158.89 XTZ0000005 0.27  -0.80 -0.50 0.17 217.67 115.78 TE_005EC -468      75624  clocking,power_cmd                               1        
4         1        2003:102:01:50:18.769 2003:102:01:55:00.057 2.41   6         RETR RETR 3984  NMAN      151.16 XTZ0000005 0.28  -0.81 -0.48 0.20 220.24 117.36 TE_005EC -468      75624  dec,pitch,q1,q2,q3,q4,ra,roll                    1        
4         1        2003:102:01:55:00.057 2003:102:01:59:41.345 11.69  6         RETR RETR 3984  NMAN      139.18 XTZ0000005 0.31  -0.81 -0.40 0.28 228.68 121.97 TE_005EC -468      75624  dec,pitch,q1,q2,q3,q4,ra,roll                    1        
4         1        2003:102:01:59:41.345 2003:102:02:04:22.632 21.53  6         RETR RETR 3984  NMAN      131.47 XTZ0000005 0.34  -0.81 -0.32 0.36 236.72 125.32 TE_005EC -468      75624  dec,pitch,q1,q2,q3,q4,ra,roll                    1        
4         1        2003:102:02:04:22.632 2003:102:07:48:01.230 24.45  6         RETR RETR 3984  NPNT      129.75 XTZ0000005 0.35  -0.81 -0.29 0.38 239.04 126.04 TE_005EC -468      75624  dec,pcad_mode,pitch,q1,q2,q3,q4,ra,roll          1        
4         0        2003:102:07:48:01.230 2003:102:07:48:11.481 24.45  6         RETR RETR 3984  NMAN      129.75 AA00000000 0.35  -0.81 -0.29 0.38 239.04 126.04 TE_005EC -468      75624  clocking,pcad_mode,power_cmd                     1        
4         0        2003:102:07:48:11.481 2003:102:07:51:01.230 24.45  6         RETR RETR 3984  NMAN      130.05 AA00000000 0.35  -0.81 -0.29 0.38 239.04 126.04 TE_005EC -468      75624  dec,pitch,q1,q2,q3,q4,ra,roll                    1        
4         0        2003:102:07:51:01.230 2003:102:07:51:05.230 24.45  6         RETR RETR 4126  NMAN      130.05 AA00000000 0.35  -0.81 -0.29 0.38 239.04 126.04 TE_005EC -468      75624  clocking,obsid,power_cmd                         1        
4         0        2003:102:07:51:05.230 2003:102:07:51:09.230 24.45  6         RETR RETR 4126  NMAN      130.05 AA00000000 0.35  -0.81 -0.29 0.38 239.04 126.04 TE_005EC -468      75624  clocking,power_cmd                               1        
0         0        2003:102:07:51:09.230 2003:102:07:51:33.230 24.45  0         RETR RETR 4126  NMAN      130.05 WSPOW00000 0.35  -0.81 -0.29 0.38 239.04 126.04 TE_005EC -468      75624  ccd_count,clocking,fep_count,power_cmd,vid_board 1        
6         0        2003:102:07:51:33.230 2003:102:07:52:36.230 24.45  6         RETR RETR 4126  NMAN      130.05 WSPOW1EC3F 0.35  -0.81 -0.29 0.38 239.04 126.04 TE_005EC -468      75624  ccd_count,clocking,fep_count,power_cmd,vid_board 1        
6         0        2003:102:07:52:36.230 2003:102:07:52:40.230 24.45  6         RETR RETR 4126  NMAN      130.05 WSPOW1EC3F 0.35  -0.81 -0.29 0.38 239.04 126.04 TE_004F2 -468      75624  si_mode                                          1        
6         1        2003:102:07:52:40.230 2003:102:07:53:55.689 24.45  6         RETR RETR 4126  NMAN      130.05 XTZ0000005 0.35  -0.81 -0.29 0.38 239.04 126.04 TE_004F2 -468      75624  clocking,power_cmd                               1        
6         1        2003:102:07:53:55.689 2003:102:07:59:39.898 27.81  6         RETR RETR 4126  NMAN      130.80 XTZ0000005 0.33  -0.83 -0.25 0.38 235.44 131.70 TE_004F2 -468      75624  dec,pitch,q1,q2,q3,q4,ra,roll                    1        
6         1        2003:102:07:59:39.898 2003:102:08:05:24.106 35.09  6         RETR RETR 4126  NMAN      131.57 XTZ0000005 0.26  -0.88 -0.13 0.36 223.03 149.49 TE_004F2 -468      75624  dec,pitch,q1,q2,q3,q4,ra,roll                    1        
6         1        2003:102:08:05:24.106 2003:102:09:22:55.230 36.83  6         RETR RETR 4126  NPNT      131.77 XTZ0000005 0.24  -0.90 -0.08 0.35 217.69 156.70 TE_004F2 -468      75624  dec,pcad_mode,pitch,q1,q2,q3,q4,ra,roll          1        
6         0        2003:102:09:22:55.230 2003:102:09:23:05.481 36.83  6         RETR RETR 4126  NMAN      131.77 AA00000000 0.24  -0.90 -0.08 0.35 217.69 156.70 TE_004F2 -468      75624  clocking,pcad_mode,power_cmd                     1        
6         0        2003:102:09:23:05.481 2003:102:09:25:55.230 36.83  6         RETR RETR 4126  NMAN      134.22 AA00000000 0.24  -0.90 -0.08 0.35 217.69 156.70 TE_004F2 -468      75624  dec,pitch,q1,q2,q3,q4,ra,roll                    1        
6         0        2003:102:09:25:55.230 2003:102:09:25:59.230 36.83  6         RETR RETR 3983  NMAN      134.22 AA00000000 0.24  -0.90 -0.08 0.35 217.69 156.70 TE_004F2 -468      75624  clocking,obsid,power_cmd                         1        
6         0        2003:102:09:25:59.230 2003:102:09:26:03.230 36.83  6         RETR RETR 3983  NMAN      134.22 AA00000000 0.24  -0.90 -0.08 0.35 217.69 156.70 TE_004F2 -468      75624  clocking,power_cmd                               1        
0         0        2003:102:09:26:03.230 2003:102:09:26:27.230 36.83  0         RETR RETR 3983  NMAN      134.22 WSPOW00000 0.24  -0.90 -0.08 0.35 217.69 156.70 TE_004F2 -468      75624  ccd_count,clocking,fep_count,power_cmd,vid_board 1        
4         0        2003:102:09:26:27.230 2003:102:09:27:30.230 36.83  6         RETR RETR 3983  NMAN      134.22 WSPOW1E03F 0.24  -0.90 -0.08 0.35 217.69 156.70 TE_004F2 -468      75624  ccd_count,clocking,fep_count,power_cmd,vid_board 1        
4         0        2003:102:09:27:30.230 2003:102:09:27:34.230 36.83  6         RETR RETR 3983  NMAN      134.22 WSPOW1E03F 0.24  -0.90 -0.08 0.35 217.69 156.70 TE_005EA -468      75624  si_mode                                          1        
4         1        2003:102:09:27:34.230 2003:102:09:28:30.230 36.83  6         RETR RETR 3983  NMAN      134.22 XTZ0000005 0.24  -0.90 -0.08 0.35 217.69 156.70 TE_005EA -468      75624  clocking,power_cmd                               1        
4         1        2003:102:09:28:30.230 2003:102:09:33:54.979 31.72  6         RETR RETR 3983  NMAN      139.13 XTZ0000005 0.24  -0.91 -0.11 0.32 216.98 155.53 TE_005EA -468      75624  dec,pitch,q1,q2,q3,q4,ra,roll                    1        
4         1        2003:102:09:33:54.979 2003:102:12:38:13.985 26.63  6         RETR RETR 3983  NPNT      141.58 XTZ0000005 0.25  -0.92 -0.14 0.28 216.19 154.34 TE_005EA -468      75624  dec,pcad_mode,pitch,q1,q2,q3,q4,ra,roll          1        
4         0        2003:102:12:38:13.985 2003:102:12:38:18.985 26.63  6         RETR RETR 3983  NMAN      141.58 AA00000000 0.25  -0.92 -0.14 0.28 216.19 154.34 TE_005EA -468      75624  clocking,pcad_mode,power_cmd                     1        
4         0        2003:102:12:38:18.985 2003:102:12:48:25.261 26.63  6         RETR RETR 3983  NMAN      141.58 AA00000000 0.25  -0.92 -0.14 0.28 216.19 154.34 TE_005EA -468      -99616 simpos                                           1        
4         0        2003:102:12:48:25.261 2003:102:12:53:13.985 26.63  6         RETR RETR 3983  NPNT      141.58 AA00000000 0.25  -0.92 -0.14 0.28 216.19 154.34 TE_005EA -468      -99616 pcad_mode                                        1        
4         0        2003:102:12:53:13.985 2003:102:12:53:24.236 26.63  6         RETR RETR 3983  NMAN      141.58 AA00000000 0.25  -0.92 -0.14 0.28 216.19 154.34 TE_005EA -468      -99616 pcad_mode                                        1        
4         0        2003:102:12:53:24.236 2003:102:12:56:13.985 26.63  6         RETR RETR 3983  NMAN      141.65 AA00000000 0.25  -0.92 -0.14 0.28 216.19 154.34 TE_005EA -468      -99616 dec,pitch,q1,q2,q3,q4,ra,roll                    1        
4         0        2003:102:12:56:13.985 2003:102:12:56:23.985 26.63  6         RETR RETR 60780 NMAN      141.65 AA00000000 0.25  -0.92 -0.14 0.28 216.19 154.34 TE_005EA -468      -99616 obsid                                            1        
4         0        2003:102:12:56:23.985 2003:102:12:56:27.985 26.63  6         RETR RETR 60780 NMAN      141.65 AA00000000 0.25  -0.92 -0.14 0.28 216.19 154.34 TE_005EA -468      -99616 clocking,power_cmd                               1        
4         0        2003:102:12:56:27.985 2003:102:12:56:31.985 26.63  6         RETR RETR 60780 NMAN      141.65 AA00000000 0.25  -0.92 -0.14 0.28 216.19 154.34 TE_005EA -468      -99616 clocking,power_cmd                               1        
0         0        2003:102:12:56:31.985 2003:102:12:56:55.985 26.63  0         RETR RETR 60780 NMAN      141.65 WSPOW00000 0.25  -0.92 -0.14 0.28 216.19 154.34 TE_005EA -468      -99616 ccd_count,clocking,fep_count,power_cmd,vid_board 1        
6         0        2003:102:12:56:55.985 2003:102:12:57:58.985 26.63  6         RETR RETR 60780 NMAN      141.65 WSPOW0CF3F 0.25  -0.92 -0.14 0.28 216.19 154.34 TE_005EA -468      -99616 ccd_count,clocking,fep_count,power_cmd,vid_board 1        
6         0        2003:102:12:57:58.985 2003:102:12:58:02.985 26.63  6         RETR RETR 60780 NMAN      141.65 WSPOW0CF3F 0.25  -0.92 -0.14 0.28 216.19 154.34 TE_00216 -468      -99616 si_mode                                          1        
6         1        2003:102:12:58:02.985 2003:102:12:58:16.910 26.63  6         RETR RETR 60780 NMAN      141.65 XTZ0000005 0.25  -0.92 -0.14 0.28 216.19 154.34 TE_00216 -468      -99616 clocking,power_cmd                               1        
6         1        2003:102:12:58:16.910 2003:102:13:03:09.584 27.55  6         RETR RETR 60780 NMAN      141.93 XTZ0000005 0.23  -0.93 -0.10 0.28 213.45 159.04 TE_00216 -468      -99616 dec,pitch,q1,q2,q3,q4,ra,roll                    1        
6         1        2003:102:13:03:09.584 2003:102:13:08:02.257 29.09  6         RETR RETR 60780 NMAN      142.54 XTZ0000005 0.19  -0.95 0.02  0.25 203.39 175.80 TE_00216 -468      -99616 dec,pitch,q1,q2,q3,q4,ra,roll                    1        
6         1        2003:102:13:08:02.257 2003:102:13:12:54.931 26.65  6         RETR RETR 60780 NMAN      143.32 XTZ0000005 0.11  -0.95 0.19  0.21 188.86 200.12 TE_00216 -468      -99616 dec,pitch,q1,q2,q3,q4,ra,roll                    1        
6         1        2003:102:13:12:54.931 2003:102:13:17:47.605 19.33  6         RETR RETR 60780 NMAN      143.95 XTZ0000005 0.04  -0.92 0.35  0.17 177.09 222.24 TE_00216 -468      -99616 dec,pitch,q1,q2,q3,q4,ra,roll                    1        
6         1        2003:102:13:17:47.605 2003:102:13:22:40.279 12.26  6         RETR RETR 60780 NMAN      144.26 XTZ0000005 -0.02 -0.88 0.46  0.13 171.31 235.79 TE_00216 -468      -99616 dec,pitch,q1,q2,q3,q4,ra,roll                    1        
6         1        2003:102:13:22:40.279 2003:102:15:31:53.985 10.00  6         RETR RETR 60780 NPNT      144.32 XTZ0000005 -0.03 -0.87 0.49  0.12 170.00 239.51 TE_00216 -468      -99616 dec,pcad_mode,pitch,q1,q2,q3,q4,ra,roll          1        
6         0        2003:102:15:31:53.985 2003:102:15:34:53.985 10.00  6         RETR RETR 60780 NPNT      144.32 AA00000000 -0.03 -0.87 0.49  0.12 170.00 239.51 TE_00216 -468      -99616 clocking,power_cmd                               1        
6         0        2003:102:15:34:53.985 2003:102:15:35:02.985 10.00  6         RETR RETR 60780 NPNT      144.32 AA00000000 -0.03 -0.87 0.49  0.12 170.00 239.51 TE_00216 -468      -99616 clocking,power_cmd                               1        
