datestart             datestop              obsid power_cmd  si_mode  pcad_mode vid_board clocking fep_count ccd_count simpos simfa_pos pitch  ra     dec    roll   q1    q2    q3    q4   trans_keys                                      
2010:131:00:24:59.208 2010:131:00:30:13.612 12026 XTZ0000005 TE_00458 NMAN      1         1        5         5         91576  -536      138.39 270.03 -13.53 99.31  0.59  -0.48 -0.52 0.39 dec,pitch,q1,q2,q3,q4,ra,roll                   
2010:131:00:30:13.612 2010:131:00:35:28.016 12026 XTZ0000005 TE_00458 NMAN      1         1        5         5         91576  -536      136.64 265.70 2.30   115.86 0.57  -0.63 -0.38 0.37 dec,pitch,q1,q2,q3,q4,ra,roll                   
2010:131:00:35:28.016 2010:131:00:40:42.421 12026 XTZ0000005 TE_00458 NMAN      1         1        5         5         91576  -536      134.75 256.72 16.13  134.30 0.52  -0.75 -0.22 0.34 dec,pitch,q1,q2,q3,q4,ra,roll                   
2010:131:00:40:42.421 2010:131:00:45:56.825 12026 XTZ0000005 TE_00458 NMAN      1         1        5         5         91576  -536      133.04 242.67 26.06  156.38 0.46  -0.84 -0.06 0.29 dec,pitch,q1,q2,q3,q4,ra,roll                   
2010:131:00:45:56.825 2010:131:00:51:11.229 12026 XTZ0000005 TE_00458 NMAN      1         1        5         5         91576  -536      131.87 224.57 29.83  181.90 0.37  -0.89 0.11  0.23 dec,pitch,q1,q2,q3,q4,ra,roll                   
2010:131:00:51:11.229 2010:131:00:56:25.633 12026 XTZ0000005 TE_00458 NMAN      1         1        5         5         91576  -536      131.38 210.93 27.90  200.97 0.30  -0.91 0.23  0.18 dec,pitch,q1,q2,q3,q4,ra,roll                   
2010:131:00:56:25.633 2010:131:05:10:45.385 12026 XTZ0000005 TE_00458 NPNT      1         1        5         5         91576  -536      131.29 207.21 26.61  206.30 0.27  -0.91 0.27  0.17 dec,pcad_mode,pitch,q1,q2,q3,q4,ra,roll         
2010:131:05:10:45.385 2010:131:05:10:55.636 12026 AA00000000 TE_00458 NMAN      1         0        5         5         90520  -536      131.29 207.21 26.61  206.30 0.27  -0.91 0.27  0.17 clocking,pcad_mode,power_cmd,simpos             
2010:131:05:10:55.636 2010:131:05:13:45.385 12026 AA00000000 TE_00458 NMAN      1         0        5         5         90520  -536      132.24 207.21 26.61  206.30 0.27  -0.91 0.27  0.17 dec,pitch,q1,q2,q3,q4,ra,roll                   
2010:131:05:13:45.385 2010:131:05:15:52.997 11878 AA00000000 TE_00458 NMAN      1         0        5         5         90520  -536      132.24 207.21 26.61  206.30 0.27  -0.91 0.27  0.17 obsid                                           
2010:131:05:15:52.997 2010:131:05:20:50.357 11878 AA00000000 TE_00458 NMAN      1         0        5         5         90520  -536      137.04 205.90 23.57  209.94 0.26  -0.91 0.29  0.14 dec,pitch,q1,q2,q3,q4,ra,roll                   
2010:131:05:20:50.357 2010:131:05:25:47.718 11878 AA00000000 TE_00458 NMAN      1         0        5         5         90520  -536      144.55 203.11 12.73  221.43 0.22  -0.90 0.37  0.03 dec,pitch,q1,q2,q3,q4,ra,roll                   
2010:131:05:25:47.718 2010:131:05:30:45.079 11878 AA00000000 TE_00458 NMAN      1         0        5         5         90520  -536      149.38 202.58 1.58   232.11 -0.18 0.88  -0.43 0.07 dec,pitch,q1,q2,q3,q4,ra,roll                   
2010:131:05:30:45.079 2010:131:05:35:04.827 11878 AA00000000 TE_00458 NPNT      1         0        5         5         90520  -536      150.45 202.81 -1.67  235.19 -0.17 0.87  -0.45 0.10 dec,pcad_mode,pitch,q1,q2,q3,q4,ra,roll         
2010:131:05:35:04.827 2010:131:05:35:22.827 11878 WSVIDALLDN TE_00458 NPNT      0         0        5         5         90520  -536      150.45 202.81 -1.67  235.19 -0.17 0.87  -0.45 0.10 power_cmd,vid_board                             
