Maneuver Error Summary Generated 27-Sep-2010 21:39:04
SBoxMargin =     0.00 asec, 3-sig init roll uncer =    30.00 asec

 obsid MaxErrYZ Seg start_time            stop_time             ssss    angle    X-axis    Y-axis    Z-axis     initQ1      initQ2      initQ3      initQ4       finalQ1     finalQ2     finalQ3     finalQ4     iru-X    iru-Y    iru-Z    aber-X   aber-Y   aber-Z   del-Y    del-Z    delYZ   iruadjYZ totadjYZ syserr.Y syserr.Z ranerr.Y ranerr.Z
 55991     4.93  0  2010:279:20:34:37.753 2010:279:20:45:04.654 +-+-    9.931 -0.429393 -0.874414 -0.225880   0.61888166  0.24539647  0.29838550  0.68390946   0.60892677  0.19372582  0.24617696  0.72874921    -0.00     0.00    -0.00    -0.92     1.23     0.44     0.00     0.00     0.00     0.00     1.31    -1.23    -0.44     1.37     4.49
 55990    22.73  0  2010:279:23:41:21.498 2010:280:00:19:46.167 -++-  123.350  0.910783 -0.000035  0.412886   0.60892677  0.19372582  0.24617696  0.72874921  -0.94359999 -0.06794850 -0.22633303  0.23189527    -0.00    -0.00     0.00   -11.85     0.21    -5.25     0.00     0.00     0.00     0.00     5.25    -0.21     5.25    10.35    17.48
 55989    22.77  0  2010:280:02:04:15.738 2010:280:02:42:43.662 +--+  123.594 -0.910997  0.001000 -0.412412  -0.94359999 -0.06794850 -0.22633303  0.23189527   0.60722074  0.19314954  0.24662936  0.73017134    -0.00     0.00     0.00    11.86     0.21     5.24     0.00     0.00     0.00     0.00     5.24    -0.21    -5.24    10.27    17.53
 55988    12.34  0  2010:280:03:50:35.239 2010:280:04:19:46.167 +--+   81.820 -0.911288  0.000758 -0.411768   0.60722074  0.19314954  0.24662936  0.73017134  -0.02905224  0.16289121  0.10506232  0.98060406    -0.00     0.00     0.00     2.98     0.13     1.19     0.00     0.00     0.00     0.00     1.20    -0.13    -1.19    12.21     9.68
 12328    52.76  0  2010:280:07:09:31.326 2010:280:07:42:14.864 -+-+   97.765  0.047798  0.985859  0.160618  -0.02905224  0.16289121  0.10506232  0.98060406  -0.04211460  0.84272163  0.16030353  0.51220055     0.00    -0.00     0.00    19.71     5.08    23.19     0.00     0.00     0.00     0.00    23.74    -5.08   -23.19     3.18    29.57
 11694    55.83  0  2010:282:06:27:45.753 2010:282:07:17:19.866 ++++  173.558  0.555244 -0.014553 -0.831560  -0.04211460  0.84272163  0.16030353  0.51220055  -0.41575668  0.09380634 -0.88281152  0.19746032     0.00     0.00    -0.00    18.86     0.50   -28.16     0.00     0.00     0.00     0.00    28.17    -0.50    28.16     2.33    27.66
 11697     3.89  0  2010:282:09:01:49.866 2010:282:09:12:15.298 +++-    9.879  0.476902 -0.519683 -0.708868  -0.41575668  0.09380634 -0.88281152  0.19746032  -0.45133119  0.02299846 -0.87683382  0.16411486    -0.00    -0.00    -0.00     1.68     0.33     0.21     0.00     0.00     0.00     0.00     0.40    -0.33    -0.21     3.55     2.84
 55986     0.30  0  2010:282:11:52:15.059 2010:282:11:56:15.059 ++++    0.000  0.000000 -1.000000  0.000000  -0.45133119  0.02299846 -0.87683382  0.16411486  -0.45133119  0.02299846 -0.87683382  0.16411486     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00    -0.00    -0.00     0.30     0.30
 55985    54.63  0  2010:282:12:00:45.059 2010:282:12:35:28.529 --+-  106.760  0.048011 -0.992489  0.112522  -0.45133119  0.02299846 -0.87683382  0.16411486  -0.95928947 -0.11003980 -0.14957686  0.21279500    -0.00     0.00     0.00    19.32     0.03   -26.33     0.00     0.00     0.00     0.00    26.33    -0.03    26.33     5.08    28.30
 55984    21.19  0  2010:282:14:43:32.558 2010:282:15:23:47.969 -++-  131.656  0.937659  0.045080  0.344619  -0.95928947 -0.11003980 -0.14957686  0.21279500  -0.23921933  0.13734143  0.06033444  0.95930767    -0.00     0.00     0.00    10.27     1.30     4.04     0.00     0.00     0.00     0.00     4.24    -1.30    -4.04     5.62    17.15
 55983     0.30  0  2010:282:17:43:49.254 2010:282:17:47:49.254 +--+    0.161 -1.000000 -0.000000 -0.000000  -0.23921933  0.13734143  0.06033444  0.95930767  -0.24056578  0.13725660  0.06052718  0.95897090    -0.00     0.00    -0.00    -0.00     0.00    -0.00     0.00     0.00     0.00     0.00     0.00    -0.00     0.00     0.30     0.30
 55982    10.88  0  2010:282:19:09:37.571 2010:282:19:32:43.750 -++-   54.463  0.899922 -0.014179  0.435820  -0.24056578  0.13725660  0.06052718  0.95897090   0.20876330  0.18872169  0.19010235  0.94056531    -0.00    -0.00     0.00     2.46     0.07     1.45     0.00     0.00     0.00     0.00     1.45    -0.07    -1.45    10.80     4.59
 12988     7.12  0  2010:282:23:36:30.717 2010:282:23:54:20.754 -++-   31.768  0.881181  0.113686  0.458906   0.20876330  0.18872169  0.19010235  0.94056531   0.44541707  0.23040825  0.26195857  0.82455648     0.00    -0.00     0.00    -0.50    -0.32    -0.73     0.00     0.00     0.00     0.00     0.80     0.32     0.73     6.80     3.63
 12747    28.19  0  2010:283:08:23:25.059 2010:283:09:07:19.053 +--+  148.050 -0.883479 -0.006775 -0.468422   0.44541707  0.23040825  0.26195857  0.82455648  -0.67981026  0.03613114 -0.10642969  0.72472428    -0.00     0.00     0.00   -10.03     0.04    -5.35     0.00     0.00     0.00     0.00     5.35    -0.03     5.35     7.77    22.84
 12682     5.26  0  2010:283:11:25:09.053 2010:283:11:39:44.059 +--+   20.645 -0.864910  0.150250 -0.478911  -0.67981026  0.03613114 -0.10642969  0.72472428  -0.78136103  0.01321481 -0.17960184  0.59753116     0.00     0.00    -0.00    -3.18     0.43    -1.51     0.00     0.00     0.00     0.00     1.57    -0.43     1.51     4.82     2.41
 13138    44.11  0  2010:283:12:25:25.053 2010:283:12:55:44.456 ++++   86.955 -0.285974  0.747318 -0.599778  -0.78136103  0.01321481 -0.17960184  0.59753116  -0.59766696  0.02972498 -0.77610388  0.19893065     0.00     0.00     0.00   -18.42    -1.78   -16.85     0.00     0.00     0.00     0.00    16.94     1.78    16.85    11.90    27.26
