1999249.195623483   | -536
1999252.130433940   | -1018
1999252.222824400   | -698
1999252.222947200   | -748
1999253.082026060   | -836
1999255.034936660   | -883
1999256.043954608   | -950
#*****< Run start 1999257.165700000  >*****
1999257.211640160   | -418
1999257.211807200   | -468
#*****< Run start 1999260.180000000  >*****
1999260.183942240   | -536
#*****< Run start 1999260.180607945  >*****
1999260.213942240   | -536
#*****< Run start 1999264.163800958  >*****
1999266.122914234   | -418
1999266.123032994   | -468
#*****< Run start 1999268.212320593  >*****
1999269.012200000   | -536
1999269.181803470   | -418
1999269.181922230   | -468
#*****< Run start 1999272.220344639  >*****
1999273.204309656   | -536
#*****< Run start 1999275.132453962  >*****
1999276.131817680   | -110
1999276.131942600   | -160
1999277.224754680   | -836
1999279.034951943   | -418
1999279.035116703   | -468
#*****< Run start 1999281.195700000  >*****
1999285.103032234   | -536
1999287.014658422   | -418
1999287.014858422   | -468
1999287.211024473   | -536
1999289.181806867   | -418
1999289.181925627   | -468
#*****< Run start 1999289.054500000  >*****
1999290.010456269   | -418
1999290.010615029   | -468
1999291.140548855   | -536
1999292.192417811   | -418
1999292.192536571   | -468
1999294.030228815   | -536
#*****< Run start 1999292.092500018  >*****
1999292.192417811   | -418
1999292.192536571   | -468
1999294.025217732   | -536
1999295.005202439   | -418
1999295.005321199   | -468
1999296.024835942   | -536
#*****< Run start 1999296.181700000  >*****
1999296.183650179   | -716
1999297.165023184   | -418
1999297.165141944   | -468
1999298.015130164   | -1120
1999298.045111449   | -666
1999298.045236929   | -716
1999299.014913800   | -950
1999299.021741680   | -1020
1999299.024741680   | -1090
1999299.031741680   | -1160
1999299.034741680   | -1230
1999299.043526223   | -998
1999299.043647263   | -1048
#*****< Run start 1999300.074245000  >*****
1999300.114940213   | -666
1999300.115104253   | -716
1999301.160704676   | -1120
1999301.212247312   | -998
1999301.212406152   | -1048
1999302.224125182   | -1192
#*****< Run start 1999303.071319826  >*****
1999303.073944712   | -486
1999303.074113792   | -536
1999304.055645814   | -418
1999304.055804574   | -468
#*****< Run start 1999305.083001285  >*****
1999308.132645816   | -536
1999309.012115177   | -418
1999309.012233937   | -468
1999309.095359442   | -536
1999309.170625975   | -418
1999309.170744735   | -468
1999309.202723654   | -536
1999310.012753048   | -418
1999310.012911808   | -468
#*****< Run start 1999310.205650494  >*****
1999310.211922494   | -991
1999314.132850274   | -418
1999314.133019274   | -468
1999316.044152220   | -991
1999316.190518780   | -666
1999316.190642820   | -716
1999317.012001804   | -486
1999317.012122804   | -536
1999317.165205593   | -418
1999317.165324353   | -468
#*****< Run start 1999318.131540838  >*****
1999318.195636233   | -536
1999319.223054063   | -418
1999319.223212823   | -468
1999321.224409644   | -536
1999322.050002716   | -418
1999322.050121476   | -468
1999324.233956099   | -536
#*****< Run start 1999325.204700000  >*****
1999326.180352472   | -418
1999326.180511232   | -468
1999327.023903425   | -536
1999328.054546507   | -418
1999328.054705267   | -468
1999330.085133140   | -991
1999331.025410098   | -666
1999331.025532998   | -716
1999332.043740907   | -418
1999332.043903267   | -468
1999332.075451760   | -1063
1999332.090329499   | -666
1999332.090453839   | -716
#*****< Run start 1999332.110700000  >*****
1999332.113427822   | -991
1999334.145128383   | -418
1999334.145256243   | -468
1999334.173040193   | -716
1999335.054132142   | -418
1999335.054254502   | -468
1999336.025343404   | -536
1999337.071050632   | -418
1999337.071209392   | -468
1999339.000254089   | -536
#*****< Run start 1999339.212700000  >*****
1999340.144758874   | -716
1999343.205121109   | -418
1999343.205243469   | -468
1999343.213953931   | -536
1999343.223558576   | -418
1999343.223717336   | -468
1999345.053949816   | -486
1999345.054110816   | -536
1999345.105017736   | -418
1999345.105136496   | -468
1999345.225807430   | -991
#*****< Run start 1999346.225700000  >*****
1999347.200842000   | -418
1999347.201009860   | -468
1999353.035229478   | -716
1999353.181145056   | -418
1999353.181307416   | -468
#*****< Run start 1999353.205700000  >*****
1999355.182121903   | -716
1999357.045451564   | -486
1999357.045612564   | -536
1999358.104021106   | -991
#*****< Run start 1999361.020402545  >*****
1999361.022517285   | -418
1999361.022645145   | -468
1999361.163316424   | -536
1999361.190533487   | -418
1999361.190652247   | -468
1999363.165301450   | -536
1999363.200009580   | -418
1999363.200128340   | -468
1999364.015459805   | -536
1999364.034719539   | -418
1999364.034838299   | -468
1999364.193649202   | -536
1999365.032343426   | -418
1999365.032502186   | -468
1999365.063815202   | -536
2000001.091959941   | -418
2000001.092118701   | -468
2000001.131538658   | -536
2000002.144508988   | -418
2000002.144627748   | -468
2000007.154746453   | -536
2000007.170945208   | -418
2000007.171103968   | -468
#*****< Run start 2000009.073200000  >*****
2000009.075642009   | -991
2000009.191842028   | -418
2000009.192009888   | -468
2000014.134010568   | -536
2000014.182935078   | -991
2000015.153418468   | -418
2000015.153546328   | -468
#*****< Run start 2000017.015202268  >*****
2000017.061714964   | -991
2000017.153917281   | -418
2000017.154045141   | -468
2000017.184316782   | -536
2000018.004059406   | -418
2000018.004218166   | -468
2000019.003959763   | -536
2000019.205115348   | -716
#*****< Run start 2000019.231515348  >*****
2000020.203002735   | -418
2000020.203125095   | -468
2000022.142753796   | -716
2000022.202950466   | -991
2000023.001823303   | -418
2000023.001951163   | -468
2000023.075410176   | -716
#*****< Run start 2000024.015549847  >*****
2000024.021510086   | -486
2000024.021631086   | -536
2000025.173101568   | -418
2000025.173220328   | -468
2000028.092813246   | -991
2000029.043553357   | -418
2000029.043721217   | -468
2000029.131517253   | -536
2000029.160622282   | -418
2000029.160741042   | -468
#*****< Run start 2000031.005700000  >*****
