1999235.161500000 | 1574152 
1999247.094459326 | 5528884
1999253.081459545 | 7530836
1999260.235959718 | 10112300
1999264.200459080 | 11405956
1999270.072100024 | 3840
1999273.092959712 | 1045556
1999279.075958906 | 3047504
1999294.115959953 | 8161264
2000039.045959521 | 11597268
2000049.014500362 | 1188
2001004.083029600 | 7664640 
2001060.070011400 | 9747840
2001081.032129071 | 0
2001130.213410837 | 0
2001180.154652605 | 0
2001230.095934374 | 0
2001280.041216144 | 0
2001329.222457915 | 0
2002014.163739687 | 0
2002064.105021461 | 0
2002114.050303235 | 0
2002163.231545011 | 0
2002213.172826787 | 0
2002263.114108565 | 0
2002313.055350342 | 0
2002363.000632122 | 0
2003047.181913902 | 0
2003097.123155683 | 0
2003147.064437465 | 0
2003197.005719248 | 0
2003246.191001032 | 0
2003296.132242816 | 0
2003346.073524602 | 0
2004031.014803389 | 0
2004080.200048177 | 0
2004130.141329967 | 0
2004180.082611757 | 0
2004230.023853547 | 0
2004279.205135339 | 0
2004329.150417132 | 0
2005013.091658926 | 0
2005063.032940720 | 0
2005112.214222515 | 0
2005162.155504311 | 0
2005262.042027905 | 0
2005361.164550502 | 0
2006046.108532302 | 0
2006096.051114101 | 0
2006145.232355902 | 0
2006195.173637702 | 0
2006245.114919505 | 0
2006295.060201306 | 0
2007029.182724913 | 0
2007079.124006718 | 0
2007129.065248523 | 0
2007179.010530328 | 0
2007228.191812134 | 0
2007242.112023391 | 4608512
2007278.133053941 | 0
2007328.074335748 | 0
2008013.015617556 | 0
2008049.111523309 | 12269056
2008080.111505839 | 5944064
2008122.020009214 | 3198080
2008150.041012533 | 12669312
2008178.041009451 | 5332864
2008206.110006371 | 14869632
2008225.092629760 | 0
2008225.113952961 | 31232
2008275.033911571 | 0
2009005.111505582 | 15697920
2009026.120024672 | 6011904
2009068.111530452 | 3385344
2009089.111528142 | 10465920
2009141.111508366 | 11221504
2009180.123011734 | 7611520
2009236.040003175 | 9596416
2009250.010010435 | 14274688
2009278.103017758 | 7071744
2009320.124514742 | 4487296
2009362.111530924 | 1850240
2010004.140002956 | 4248960
2010035.111512691 | 14662656
2010053.111524769 | 3954560
2010063.040000812 | 7224320
2010070.040000043 | 9584512
2010084.202959307 | 14536704
2010116.111517846 | 8419072
2010158.101505230 | 5788928
2010214.113025478 | 7910912
2010238.113715184 | 16004608
