#*****< Run start 1999244.215700000  >*****
1999245.043859910   | -29024
1999245.050859910   | -50504
1999245.081539910   | -71984
1999245.112219910   | -50504
1999245.221306730   | -36536
1999246.151910005   | -50504
1999247.180328155   | -99616
1999248.071908933   | -99616
1999249.195106799   | 92904
1999252.125917258   | -99616
1999253.081754215   | -50504
#*****< Run start 1999255.022700000  >*****
1999255.034419976   | -99616
1999256.100800000   |  75620
#*****< Run start 1999260.180000000  >*****
1999260.183746972   | 92904
1999262.121000000   | -99616
1999262.150500000   | 75624
1999263.013100000   | -99616
1999263.042100000   | 92904
#*****< Run start 1999260.180607945  >*****
1999260.213746972   | 92904
1999262.121000000   | -99616
1999262.150500000   | 75624
1999263.013100000   | -99616
1999263.042100000   | 92904
#*****< Run start 1999261.132700000  >*****
1999261.140000000   | -99616
1999263.045000000   | 92904
#*****< Run start 1999264.163800958  >*****
1999264.165300958   | -99616
1999264.194000958   | 92904
1999265.042500958   | -99616
1999265.215000958   | 92904
1999266.122718966   | 75624
1999267.181230958   | -99616
1999268.132030958   | 75624
#*****< Run start 1999268.212320593  >*****
1999269.181608202   | 75624
#*****< Manual >*****
1999271.000000000   | 75615
#*****< Run start 1999272.220344639  >*****
1999272.233000792   | -99616
1999273.203605792   | 92904
#*****< Run start 1999275.132453962  >*****
1999275.143800000   | -99616
1999276.131357441   | -50504
1999278.054500000   | -99616
1999279.034551572   | 75624
1999280.220500034   | -99616
#*****< Run start 1999281.195700000  >*****
1999281.204000542   | 75624
1999283.192255460   | -99616
1999284.112500460   | 75624
1999285.102249994   | 92904
1999286.104546379   | -99616
1999287.014058422   | 75624
1999287.210829205   | 92904
1999289.030407103   | -99616
1999289.181143027   | 74072
#*****< Run start 1999289.054500000  >*****
1999289.175200000   | 92904
1999290.010259224   | 74072
1999290.225813098   | 75624
1999291.140353587   | 92904
1999291.172000018   | -99616
1999292.094000018   | 92904
1999292.192222543   | 75624
1999294.030033547   | 92904
1999294.083000987   | -99616
1999294.235700987   | 92904
#*****< Run start 1999292.092500018  >*****
1999292.094000018   | 92904
1999292.192222543   | 75624
1999294.025022464   | 92904
1999294.083000376   | -99616
1999294.235700376   | 92904
1999295.005007171   | 75624
1999296.024640674   | 92904
#*****< Run start 1999296.181700000  >*****
1999296.183229940   | -50504
1999296.221940227   | -99616
1999297.164359344   | 75624
1999298.014359604   | -99616
1999298.044839604   | -50504
1999299.014641955   | -99616
#*****< Run start 1999300.074245000  >*****
1999300.114321653   | -50504
1999301.160432831   | -99616
#*****< Run start 1999303.071319826  >*****
1999303.073428028   | 92904
1999304.055450546   | 75624
1999304.202000148   | -99616
#*****< Run start 1999305.083001285  >*****
1999305.150000148   | 75624
1999307.110000148   | -99616
1999308.062000000   | 77064
1999308.092528144   | 74336
1999308.123238791   | 75624
1999308.132453748   | 90120
1999308.162626347   | 91712
1999308.192626347   | 93304
1999308.222626347   | 94896
1999309.011915846   | 74072
1999309.095202397   | 92904
1999309.170430707   | 75624
1999309.202528386   | 92904
1999310.012557780   | 75624
1999310.030000227   | -99616
#*****< Run start 1999310.205650494  >*****
1999310.211425678   | -99616
1999314.132358030   | 71640
1999315.092000308   | -99616
1999316.043659976   | -99616
1999316.190246935   | -50504
1999316.220619468   | -45848
1999317.011546917   | 92904
1999317.165010325   | 75624
1999318.013000308   | -99616
#*****< Run start 1999318.131540838  >*****
1999318.195000000   | 92904
1999319.222858795   | 75624
1999320.170000364   | -99616
1999321.114400364   | 75624
1999321.224214376   | 92904
1999322.045807448   | 75624
1999322.213018312   | 74504
1999323.081000364   | -99616
1999324.021500364   | 74504
1999324.182617178   | 75624
1999324.233800831   | 92904
#*****< Run start 1999325.204700000  >*****
1999325.210601000   | 89992
1999326.000000766   | -99616
1999326.175000000   | 75624
1999327.023708157   | 92904
1999328.053922666   | 75624
1999328.150000766   | -99616
1999329.075600766   | 75624
1999330.084636324   | -99616
1999331.024750398   | -50504
1999331.061000364   | -99616
1999332.004500364   | -50504
1999332.043340536   | 75624
1999332.074954944   | -99616
1999332.090057654   | -50504
#*****< Run start 1999332.110700000  >*****
1999332.113155977   | -99616
1999334.144631567   | 75624
1999334.172639822   | -50504
1999335.053731771   | 75624
1999336.025149507   | 91712
1999336.123500271   | -99616
1999337.070356735   | 75624
1999339.000058821   | 92904
1999339.035000271   | -99616
1999339.211500271   | 92904
#*****< Run start 1999339.212700000  >*****
1999340.085407861   | 89992
1999340.144341980   | -50504
1999341.195330777   | -99616
1999342.132845777   | -50504
1999343.204720738   | 75624
1999343.213802236   | 89800
1999343.223406881   | 75624
1999344.102500777   | -99616
1999345.053029577   | 92904
1999345.074247628   | 89800
1999345.104826041   | 75624
1999345.225310614   | -99616
#*****< Run start 1999346.225700000  >*****
1999347.200345184   | 75624
1999348.013148203   | 72440
1999349.001408191   | 75624
1999349.183141213   | -99616
1999350.121000000   | 75624
1999351.041204220   | 74424
1999352.090250838   | -99616
1999353.034830478   | -50504
1999353.180744685   | 75624
#*****< Run start 1999353.205700000  >*****
1999354.155000000   | -99616
1999355.181721532   | -50504
1999357.045031325   | 92904
1999357.162500000   | -99616
1999358.103749261   | -99616
#*****< Run start 1999361.020402545  >*****
1999361.022020469   | 75624
1999361.163121156   | 92904
1999361.190334562   | 72440
1999362.231709648   | -99616
1999363.165103864   | 91744
1999363.195815651   | 75624
1999364.015304537   | 92904
1999364.034524271   | 75624
1999364.053923564   | 74424
1999364.193453902   | 91744
1999365.012607328   | 92904
1999365.032148158   | 75624
1999365.063623363   | 89920
1999365.151241520   | -99616
