2008133.215502775 | DISA
#*****< WEEKLY LOAD START @ 2009102.185700000 >*****
2009102.215544351 | ENAB
2009103.013320439 | DISA
2009103.083755736 | ENAB
2009105.090724996 | DISA
2009105.132544351 | ENAB
2009105.160059005 | DISA
2009105.231357257 | ENAB
2009106.185542996 | DISA
2009107.115629140 | ENAB
2009108.003608156 | DISA
2009108.153604800 | ENAB
#*****< WEEKLY LOAD START @ 2009110.012546721 >*****
2009110.012859022 | DISA
2009111.065459571 | ENAB
2009112.215311294 | DISA
2009113.214452178 | ENAB
2009115.230015422 | DISA
2009116.140509345 | ENAB
#*****< WEEKLY LOAD START @ 2009116.214407121 >*****
2009116.214719422 | DISA
2009117.010929767 | ENAB
2009118.145724745 | DISA
2009119.050716689 | ENAB
2009119.124448492 | DISA
2009120.162252863 | ENAB
2009123.212359088 | DISA
#*****< WEEKLY LOAD START @ 2009123.225700000 >*****
2009124.101044351 | ENAB
2009124.204234562 | DISA
2009126.162444351 | ENAB
2009127.083824966 | DISA
2009127.153903191 | ENAB
2009129.051441471 | DISA
2009129.184109115 | ENAB
2009130.012545471 | DISA
2009130.133318586 | ENAB
2009131.201951067 | DISA
#*****< WEEKLY LOAD START @ 2009131.213700000 >*****
2009132.104856192 | ENAB
2009134.085428978 | DISA
2009134.122645064 | ENAB
2009135.005530470 | DISA
2009137.041304550 | ENAB
#*****< WEEKLY LOAD START @ 2009137.045700000 >*****
2009137.050012301 | DISA
2009139.203234613 | ENAB
2009140.040145068 | DISA
2009142.052841691 | ENAB
2009143.041820677 | DISA
2009144.120935503 | ENAB
2009144.211721551 | DISA
2009145.002333028 | ENAB
2009145.020216847 | DISA
#*****< WEEKLY LOAD START @ 2009145.034500000 >*****
2009145.053544351 | ENAB
2009145.201408284 | DISA
2009147.064505072 | ENAB
2009147.170130358 | DISA
2009148.073234466 | ENAB
2009149.044720553 | DISA
2009149.145231199 | ENAB
2009149.174339149 | DISA
2009150.092119897 | ENAB
2009150.131444160 | DISA
2009151.054501183 | DISA
2009153.005659023 | ENAB
#*****< WEEKLY LOAD START @ 2009153.014200000 >*****
2009153.043722342 | DISA
2009153.133437256 | DISA
2009154.101037889 | ENAB
2009154.191841839 | DISA
2009155.004059332 | ENAB
2009155.152316587 | DISA
2009155.194644351 | ENAB
2009155.200314435 | DISA
2009155.211612301 | DISA
2009156.234635011 | ENAB
2009157.044547034 | DISA
2009157.204501452 | ENAB
2009158.040729401 | DISA
2009158.074837139 | ENAB
#*****< WEEKLY LOAD START @ 2009158.083700000 >*****
2009158.113158748 | DISA
2009159.021036804 | DISA
2009160.224240176 | ENAB
2009160.224708126 | DISA
2009161.024444351 | ENAB
2009161.030302615 | DISA
2009161.042111301 | DISA
2009161.123633610 | ENAB
2009161.210446126 | DISA
2009162.005856727 | ENAB
2009163.135114729 | DISA
2009163.175944351 | ENAB
2009163.183516790 | DISA
2009163.195311301 | DISA
2009164.040659373 | ENAB
2009165.074630021 | DISA
#*****< WEEKLY LOAD START @ 2009165.110000000 >*****
2009165.112407865 | ENAB
2009165.121123278 | DISA
2009166.095144351 | ENAB
2009166.100806993 | DISA
2009166.112417330 | DISA
2009166.131553923 | ENAB
2009168.180737972 | DISA
2009169.012444351 | ENAB
2009169.014038946 | DISA
2009169.030212192 | DISA
2009169.112656932 | ENAB
2009170.232829070 | DISA
2009171.165644351 | ENAB
2009171.171238935 | DISA
2009171.182111084 | DISA
2009171.192136809 | ENAB
#*****< WEEKLY LOAD START @ 2009172.172031370 >*****
2009173.130111569 | DISA
2009174.083016745 | ENAB
2009174.084532394 | DISA
2009176.193513880 | DISA
2009177.000618478 | ENAB
2009177.002134127 | DISA
2009177.012006428 | DISA
2009177.093104140 | ENAB
2009178.045202216 | DISA
#*****< WEEKLY LOAD START @ 2009179.122501858 >*****
2009179.153944351 | ENAB
2009179.155838079 | DISA
2009179.165411940 | DISA
2009180.004439160 | ENAB
2009180.093917794 | DISA
2009181.152048376 | ENAB
2009182.022945788 | DISA
2009182.154126766 | ENAB
2009184.163309013 | DISA
2009185.075557991 | ENAB
2009186.082049123 | DISA
#*****< WEEKLY LOAD START @ 2009186.163407822 >*****
2009186.165713565 | ENAB
2009186.182840123 | DISA
2009187.082402346 | ENAB
2009187.203722278 | DISA
2009187.223939839 | ENAB
#*****TOO @ 2009188.205734000 ******
#*****< WEEKLY LOAD START @ 2009188.205433571 >*****
2009189.182031253 | DISA
2009189.195016365 | ENAB
2009189.211947850 | DISA
2009189.223940470 | ENAB
2009190.070144206 | DISA
2009190.141320595 | ENAB
#*****< WEEKLY LOAD START @ 2009191.065753662 >*****
2009191.131713204 | DISA
2009191.183806641 | ENAB
2009194.161534254 | DISA
2009195.064525996 | ENAB
2009195.171839238 | DISA
2009195.205654208 | ENAB
2009195.215131723 | DISA
2009197.050340235 | ENAB
2009197.215826451 | DISA
2009198.124602936 | ENAB
2009199.082549063 | DISA
2009199.234537172 | ENAB
2009200.131423244 | DISA
#*****< WEEKLY LOAD START @ 2009200.155700000 >*****
2009201.041544351 | ENAB
2009201.155627919 | DISA
2009203.191414337 | ENAB
2009204.112338457 | DISA
2009205.081135789 | ENAB
2009206.054244579 | DISA
2009206.111555029 | ENAB
2009207.013502384 | DISA
2009208.021813566 | ENAB
2009208.113552169 | DISA
#*****< WEEKLY LOAD START @ 2009208.141700000 >*****
2009209.005439070 | ENAB
2009209.145734424 | DISA
2009210.150559281 | ENAB
2009212.051628338 | DISA
2009212.184306190 | ENAB
#*****< GENERAL REPLAN @ 2009213.035903815 >*****
