#*****< Run start 1999244.215700000  >*****
1999204.000000000   | NONE  LAUNCH
1999252.130000192   | LETG  LETGIN
1999253.081544348   | NONE  LETGRE
#*****< Run start 1999255.022700000  >*****
1999255.034500192   | LETG  LETGIN
1999256.043647876   | NONE  LETGRE
#*****< Run start 1999257.165700000  >*****
1999257.211200192   | HETG  HETGIN
#*****< Run start 1999260.180000000  >*****
1999260.183200128   | NONE  HETGRE
#*****< Run start 1999260.180607945  >*****
1999260.213200128   | NONE  HETGRE
#*****< Run start 1999264.163800958  >*****
1999266.122250586   | HETG  HETGIN
#*****< Run start 1999268.212320593  >*****
1999269.181139821   | HETG  HETGIN
1999269.011700128   | NONE  HETGRE
#*****< Manual >*****
1999271.000000000   | HETG  HETGIN
#*****< Run start 1999272.220344639  >*****
1999273.203702944   | NONE  HETGRE
#*****< Run start 1999275.132453962  >*****
1999279.034300192   | HETG  HETGIN
1999280.220500162   | NONE  HETGRE
#*****< Run start 1999281.195700000  >*****
1999281.204000273   | HETG  HETGIN
1999283.192255588   | NONE  HETGRE
1999284.112500652   | HETG  HETGIN
1999285.102250122   | NONE  HETGRE
1999287.014058614   | HETG  HETGIN
1999287.153914769   | NONE  HETGRE
1999289.181143219   | HETG  HETGIN
#*****< Run start 1999289.054500000  >*****
1999290.005800192   | HETG  HETGIN
1999291.135806743   | NONE  HETGRE
1999292.191754163   | HETG  HETGIN
1999294.025446703   | NONE  HETGRE
#*****< Run start 1999292.092500018  >*****
1999292.191754163   | HETG  HETGIN
1999294.024435620   | NONE  HETGRE
#*****< Run start 1999296.181700000  >*****
1999297.164359536   | HETG  HETGIN
1999298.014359732   | NONE  HETGRE
1999299.043040255   | LETG  LETGIN
1999299.124800355   | NONE  LETGRE
#*****< Run start 1999300.074245000  >*****
1999300.075745192   | LETG  LETGIN
1999300.114321781   | NONE  LETGRE
1999301.211759144   | LETG  LETGIN
1999302.043355128   | NONE  LETGRE
1999302.223800192   | LETG  LETGIN
#*****< Run start 1999303.071319826  >*****
1999303.073331320   | NONE  LETGRE
1999304.055022166   | HETG  HETGIN
1999304.202000276   | NONE  HETGRE
#*****< Run start 1999305.083001285  >*****
1999309.011451529   | HETG  HETGIN
1999309.094617329   | NONE  HETGRE
#*****< Run start 1999310.205650494  >*****
1999310.211150192   | LETG  LETGIN
1999312.184000128   | NONE  LETGRE
1999313.132000192   | LETG  LETGIN
1999315.092000436   | NONE  LETGRE
1999316.043400500   | LETG  LETGIN
1999316.185900347   | NONE  LETGRE
#*****< Run start 1999318.131540838  >*****
1999322.212255184   | HETG  HETGIN
1999323.081000492   | NONE  HETGRE
1999324.021501171   | HETG  HETGIN
1999324.181853987   | NONE  HETGRE
#*****< Run start 1999325.204700000  >*****
1999328.053922858   | HETG  HETGIN
1999328.150000894   | NONE  HETGRE
1999330.084400192   | LETG  LETGIN
1999331.024750526   | NONE  LETGRE
#*****< Run start 1999332.110700000  >*****
1999332.113156169   | LETG  LETGIN
1999333.215400399   | NONE  LETGRE
#*****< Run start 1999339.212700000  >*****
1999345.225034482   | LETG  LETGIN
#*****< Run start 1999346.225700000  >*****
1999346.234913664   | NONE  LETGRE
1999347.200227453   | HETG  HETGIN
1999348.011527389   | NONE  HETGRE
1999348.012427581   | LETG  LETGIN
1999349.000647377   | NONE  LETGRE
1999349.130217351   | HETG  HETGIN
1999349.183141341   | NONE  HETGRE
1999351.040441183   | HETG  HETGIN
1999352.090250966   | NONE  HETGRE
1999353.180525008   | HETG  HETGIN
#*****< Run start 1999353.205700000  >*****
1999353.211410709   | NONE  HETGRE
1999358.103243198   | LETG  LETGIN
1999360.071000128   | NONE  LETGRE
#*****< Run start 1999361.020402545  >*****
1999361.185909840   | LETG  LETGIN
1999362.231709776   | NONE  LETGRE
1999364.053200528   | HETG  HETGIN
1999364.192907090   | NONE  HETGRE
#*****< Run start 2000009.073200000  >*****
2000009.074909061   | LETG  LETGIN
2000010.063707416   | NONE  LETGRE
2000010.064607608   | HETG  HETGIN
2000010.182416356   | NONE  HETGRE
2000012.081503578   | HETG  HETGIN
2000013.173743089   | NONE  HETGRE
2000014.182200770   | LETG  LETGIN
2000015.152803856   | NONE  LETGRE
2000016.041639419   | HETG  HETGIN
2000016.101928957   | NONE  HETGRE
#*****< Run start 2000019.231515348  >*****
2000020.234200192   | HETG  HETGIN
2000021.162240458   | NONE  HETGRE
2000022.202212558   | LETG  LETGIN
2000023.001208691   | NONE  LETGRE
#*****< Run start 2000024.015549847  >*****
2000028.092040298   | LETG  LETGIN
2000029.042938745   | NONE  LETGRE
#*****< Run start 2000031.005700000  >*****
2000031.011906033   | LETG  LETGIN
2000032.080819398   | NONE  LETGRE
2000033.025029462   | LETG  LETGIN
2000034.104252750   | NONE  LETGRE
2000034.181018680   | LETG  LETGIN
2000034.225045613   | NONE  LETGRE
2000035.172425170   | LETG  LETGIN
2000035.192945366   | NONE  LETGRE
2000036.153649774   | HETG  HETGIN
2000037.151657937   | NONE  HETGRE
#*****< Run start 2000044.235700000  >*****
2000045.063126073   | LETG  LETGIN
2000045.140852891   | NONE  LETGRE
#*****< Run start 2000059.010655622  >*****
2000060.001954557   | HETG  HETGIN
2000060.033038173   | NONE  HETGRE
2000060.161030140   | HETG  HETGIN
2000061.065834871   | NONE  HETGRE
2000063.163023593   | HETG  HETGIN
2000064.011115128   | NONE  HETGRE
2000064.200346925   | HETG  HETGIN
#*****< Run start 2000065.193000000  >*****
2000065.194500128   | NONE  HETGRE
2000065.232505964   | HETG  HETGIN
2000066.131945900   | NONE  HETGRE
